"team_id","league_id","pa","ab","h","k","d","t","hr","sb","cs","rbi","r","gs","ebh","avg","obp","slg","rc","rc27","iso","ops","batter.walks"
1,100,909,798,198,155,33,5,20,18,2,105,107,207,58,0.2481,0.3289,0.3772,104.0045,4.4432,0.1291,0.7061,103
2,100,920,815,212,205,49,3,35,16,2,123,126,216,87,0.2601,0.3344,0.4564,126.1073,5.3452,0.1963,0.7909,96
3,100,857,806,193,219,29,2,23,8,2,91,96,207,54,0.2395,0.28,0.366,80.1024,3.3899,0.1266,0.6461,47
9,100,962,850,239,157,52,0,37,0,0,134,137,216,89,0.2812,0.3534,0.4729,144.7236,6.096,0.1918,0.8264,102
10,100,1021,893,238,193,41,2,32,33,6,150,155,225,75,0.2665,0.3487,0.4244,140.318,5.4987,0.1579,0.7731,120
11,100,1001,915,212,229,37,4,24,0,1,101,105,234,65,0.2317,0.2917,0.3596,92.8035,3.3999,0.1279,0.6513,84
16,101,914,814,247,144,25,2,27,33,16,134,136,207,54,0.3034,0.3731,0.4386,135.8112,6.061,0.1351,0.8117,94
17,101,956,862,229,143,28,2,13,18,3,87,96,225,43,0.2657,0.326,0.348,100.7941,4.0619,0.0824,0.674,82
18,101,954,862,252,130,31,1,28,0,0,115,118,216,60,0.2923,0.3547,0.4281,127.3239,5.3298,0.1357,0.7827,86
19,101,945,846,242,139,33,5,21,22,8,121,123,216,59,0.2861,0.3556,0.4113,123.8356,5.208,0.1253,0.7669,95
24,100,1016,896,253,224,54,2,39,18,3,145,151,225,95,0.2824,0.357,0.4777,155.6447,6.18,0.1953,0.8347,112
25,100,926,866,175,242,23,2,26,19,9,71,72,234,51,0.2021,0.2495,0.3233,68.462,2.5709,0.1212,0.5728,57
