"team_id","league_id","tc","a","po","e","dp","tp","pct","range"
1,100,874,228,632,14,23,0,0.984,4.0823
2,100,849,207,628,14,20,0,0.9835,3.9889
3,100,865,225,620,20,26,0,0.9769,4.0887
9,100,862,209,639,14,19,0,0.9838,3.9812
10,100,933,226,694,13,24,0,0.9861,3.9769
11,100,988,252,717,19,24,0,0.9808,4.0544
16,101,842,223,607,12,30,0,0.9857,4.1021
17,101,929,250,664,15,23,0,0.9839,4.1295
18,101,907,245,646,16,20,0,0.9824,4.1378
19,101,901,252,640,9,28,0,0.99,4.1813
24,100,899,196,685,18,14,0,0.98,3.8584
25,100,948,235,688,25,19,0,0.9736,4.0247
