game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
1,100,24,1,13991,"2028-5-15",1905,0,1,0,9,0,1,4,3,0,0,62,17,43,17,62
2,100,3,2,30706,"2028-5-15",1905,0,1,0,9,0,10,2,12,1,0,465,77,69,77,465
3,100,11,10,35919,"2028-5-15",1905,0,1,0,9,7,3,8,8,1,1,174,76,458,174,76
4,100,9,25,39803,"2028-5-15",1905,0,1,0,9,4,5,6,10,0,2,223,506,0,335,145
5,100,24,1,14056,"2028-5-16",1905,0,1,0,9,5,2,5,7,0,2,208,200,479,208,200
6,100,3,2,30715,"2028-5-16",1905,0,1,0,9,2,1,3,5,1,1,337,69,336,27,456
7,100,11,10,36230,"2028-5-16",1905,0,1,0,12,10,8,15,11,2,0,526,400,0,12,446
8,100,9,25,39693,"2028-5-16",1905,0,1,0,9,3,8,13,13,0,0,126,18,0,18,126
9,100,24,1,13908,"2028-5-17",1905,0,1,0,9,0,3,2,6,0,2,360,525,70,525,360
10,100,3,2,30726,"2028-5-17",1905,0,1,0,9,10,3,16,12,0,0,442,329,0,442,329
11,100,11,10,36125,"2028-5-17",1905,0,1,0,9,3,2,5,6,0,2,227,401,371,227,401
12,100,9,25,39904,"2028-5-17",1905,0,1,0,9,1,4,3,6,0,0,16,481,223,481,16
13,100,3,2,30683,"2028-5-18",1905,0,1,0,9,4,3,13,6,0,0,453,457,502,453,457
14,100,9,25,39689,"2028-5-18",1905,0,1,0,9,4,9,9,12,1,0,45,22,0,22,45
15,100,10,2,37341,"2028-5-20",1905,0,1,0,9,2,4,8,8,0,0,368,77,458,77,368
16,100,3,25,30803,"2028-5-20",1905,0,1,0,9,8,0,13,6,0,0,335,465,0,335,465
17,100,24,11,13982,"2028-5-20",1905,0,1,0,9,4,6,11,13,0,0,192,331,43,396,399
18,100,1,9,38106,"2028-5-20",1905,0,1,0,9,21,2,20,5,0,1,145,488,0,145,488
19,100,10,2,37362,"2028-5-21",1905,0,1,0,9,3,1,8,8,2,0,27,174,502,27,174
20,100,3,25,30747,"2028-5-21",1905,0,1,0,9,1,6,3,10,1,1,456,18,0,18,456
21,100,24,11,14315,"2028-5-21",1905,0,1,0,9,0,6,2,12,0,1,62,76,0,76,62
22,100,1,9,37910,"2028-5-21",1905,0,1,0,12,8,9,16,14,0,1,421,361,0,126,17
23,100,2,10,36016,"2028-5-22",1905,0,1,0,9,6,0,9,6,0,0,12,442,0,12,442
24,100,3,25,30841,"2028-5-22",1905,0,1,0,9,1,2,7,6,1,0,69,481,445,481,329
25,100,11,24,36061,"2028-5-22",1905,0,1,0,9,6,1,11,7,2,0,200,446,192,200,446
26,100,1,9,38285,"2028-5-22",1905,0,1,0,9,2,0,5,5,0,0,16,208,326,16,208
27,100,2,10,35923,"2028-5-23",1905,0,1,0,9,7,3,9,7,0,1,227,453,504,227,453
28,100,11,24,36055,"2028-5-23",1905,0,1,0,9,5,3,9,7,3,0,360,401,43,360,401
29,100,1,24,37883,"2028-5-25",1905,0,1,0,9,4,5,6,10,0,2,525,399,479,399,525
30,100,2,3,35513,"2028-5-25",1905,0,1,0,9,2,10,3,15,2,0,77,457,0,457,77
31,100,25,9,16054,"2028-5-25",1905,0,1,0,9,3,5,6,6,1,0,138,223,466,45,22
