league_id,sub_league_id,year,best_hitter_id,best_pitcher_id,best_rookie_id,best_manager_id,best_fielder_id0,best_fielder_id1,best_fielder_id2,best_fielder_id3,best_fielder_id4,best_fielder_id5,best_fielder_id6,best_fielder_id7,best_fielder_id8,best_fielder_id9
100,0,2017,275,223,163,0,0,163,274,190,247,255,244,178,268,259
100,0,2018,270,77,77,0,0,71,275,171,240,82,246,180,266,120
100,0,2019,268,227,46,0,0,102,275,171,255,186,185,270,266,258
100,0,2020,246,227,124,0,0,112,273,119,255,111,246,271,178,87
100,0,2021,246,227,10,0,0,210,273,237,239,159,246,271,180,258
100,0,2022,246,76,69,0,0,226,20,119,121,39,246,124,178,258
100,0,2023,246,200,145,0,0,207,204,237,239,78,246,270,178,258
100,0,2024,268,227,146,0,0,211,273,149,255,151,246,310,180,258
100,0,2025,227,227,368,0,0,219,273,119,239,375,246,66,268,258
100,0,2026,268,208,401,0,0,225,246,119,344,111,122,270,159,258
100,0,2027,48,200,465,0,0,80,246,237,239,111,48,270,268,258
100,0,2028,81,62,481,0,0,335,20,407,239,111,48,270,15,185
100,0,2029,15,12,538,0,0,556,20,537,428,111,377,258,524,14
101,0,2021,259,52,11,0,0,41,249,190,240,252,75,140,267,259
101,0,2022,316,145,145,0,0,303,313,128,318,314,125,310,316,324
101,0,2023,328,328,354,0,0,305,356,321,354,39,355,346,51,324
101,0,2024,312,327,364,0,0,358,356,382,345,376,355,153,312,339
101,0,2025,394,394,394,0,0,434,406,351,422,411,437,348,432,417
101,0,2026,410,465,449,0,0,480,407,443,410,482,345,425,432,440
101,0,2027,472,456,524,0,0,386,521,484,410,482,472,512,523,461
101,0,2028,516,529,573,0,0,548,521,563,422,516,536,541,523,562
101,0,2029,562,573,625,0,0,556,483,659,510,598,579,621,591,562
