year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
2017,11,300,100,1,0,23657,21577,6244,3799,8811,4696,1000,77,471,67,68,2743,2861,1678,41,240,0,157,5,695,600,5400,1548,0,0.2894,0.3451,0.4084,2945.4289,4.8930,0.1190,0.3441,0.7534,49.6296,0.0000,16.0587,7.0930,17.6141,0.3306
2018,11,298,100,1,0,23638,21550,6048,4007,8843,4484,904,89,571,57,59,2639,2742,1723,59,223,0,134,8,660,602,5418,1564,0,0.2806,0.3383,0.4103,2904.1320,4.7943,0.1297,0.3364,0.7486,49.1379,0.0000,16.9515,7.2891,-2.6605,0.3202
2019,11,296,100,1,0,22322,20698,5054,4635,7262,3812,718,82,442,45,36,1999,2097,1290,91,222,0,110,2,581,600,5400,1242,0,0.2442,0.2942,0.3509,2055.5128,3.3901,0.1067,0.2903,0.6450,55.5556,0.0000,20.7643,5.7791,-63.4889,0.2932
2020,11,299,100,1,0,23222,20919,5250,5140,8635,3369,1069,120,692,106,45,2615,2725,1826,103,271,84,119,3,427,600,5400,1881,0,0.2510,0.3176,0.4128,2757.8524,4.5559,0.1618,0.3118,0.7304,70.1987,0.0000,22.1342,7.8632,-6.0379,0.2998
2021,11,298,100,1,0,23397,21097,5400,4389,8471,3638,1044,127,591,342,138,2696,2787,1930,58,190,38,134,8,472,600,5400,1762,0,0.2560,0.3220,0.4015,2740.0104,4.4894,0.1456,0.3183,0.7236,71.2500,0.0000,18.7588,8.2489,1.9568,0.2959
2022,11,300,100,1,0,22717,20467,5118,4375,8121,3389,1032,120,577,338,103,2550,2643,1831,62,188,43,180,8,478,600,5400,1729,0,0.2501,0.3149,0.3968,2575.6139,4.3052,0.1467,0.3100,0.7117,76.6440,0.0000,19.2587,8.0600,1.1446,0.2893
2023,11,697,100,1,0,22879,20729,5304,4423,8491,3537,992,130,645,358,163,2630,2731,1738,42,210,39,159,4,426,602,5418,1767,0,0.2559,0.3176,0.4096,2701.8079,4.4997,0.1537,0.3149,0.7272,68.7140,0.0000,19.3321,7.5965,10.0441,0.2945
2024,11,300,100,1,0,23075,20562,5256,4901,8478,3466,1027,94,669,386,92,2729,2839,2049,37,212,88,161,3,499,600,5400,1790,0,0.2556,0.3271,0.4123,2817.7221,4.7119,0.1567,0.3222,0.7394,80.7531,0.0000,21.2394,8.8797,24.4046,0.3027
2025,25,731,100,1,0,30359,27465,6973,6224,11404,4446,1506,138,883,408,122,3518,3655,2411,91,266,17,192,8,643,800,7200,2527,0,0.2539,0.3181,0.4152,3629.1760,4.5648,0.1613,0.3137,0.7333,76.9811,0.0000,20.5013,7.9416,10.0764,0.2964
2026,25,727,100,1,0,30534,27590,7041,6462,11709,4475,1455,120,991,424,117,3593,3721,2455,103,259,40,182,8,602,800,7200,2566,0,0.2552,0.3200,0.4244,3766.3656,4.7321,0.1692,0.3147,0.7444,78.3734,0.0000,21.1633,8.0402,9.7655,0.2978
2027,25,726,100,1,0,31257,28056,7490,6404,12333,4887,1412,142,1049,488,122,4065,4198,2681,61,283,21,213,3,675,800,7200,2603,0,0.2670,0.3347,0.4396,4159.9256,5.2006,0.1726,0.3310,0.7743,80.0000,0.0000,20.4882,8.5773,48.1906,0.3094
2021,19,627,101,6,0,16093,14289,4007,2289,0,0,449,47,357,308,92,1811,1880,1446,22,175,77,104,2,470,400,3600,853,0,0.2804,0.3514,0.3934,1980.6294,4.8505,0.1130,0.3465,0.7448,77.0000,0.0000,14.2236,8.9853,2.0319,0.3107
2022,19,627,101,6,0,15845,14031,3840,2460,0,0,404,56,283,657,179,1855,1956,1448,49,149,82,133,2,294,400,3600,743,0,0.2737,0.3450,0.3710,1899.0347,4.7131,0.0973,0.3358,0.7159,78.5885,0.0000,15.5254,9.1385,9.3426,0.3114
2023,19,627,101,6,0,15505,13903,3701,2615,0,0,340,53,420,309,126,1738,1817,1285,16,168,39,110,0,345,400,3600,813,0,0.2662,0.3332,0.3889,1817.8618,4.5354,0.1227,0.3306,0.7222,71.0345,0.0000,16.8655,8.2876,7.0444,0.2989
2024,17,626,101,6,0,15942,14242,4013,2374,0,0,404,60,396,266,95,1909,1990,1453,28,116,25,105,1,349,400,3600,860,0,0.2818,0.3507,0.4020,2040.7539,5.1005,0.1202,0.3476,0.7527,73.6842,0.0000,14.8915,9.1143,23.4735,0.3124
2025,17,627,101,6,0,15775,14080,3853,2504,0,0,393,44,392,204,76,1819,1887,1436,13,154,3,102,0,416,402,3618,829,0,0.2737,0.3451,0.3913,1908.4340,4.7605,0.1177,0.3435,0.7364,72.8571,0.0000,15.8732,9.1030,11.8824,0.3067
2026,17,627,101,6,0,15878,14232,4058,2484,5632,3245,410,45,358,345,96,1830,1904,1375,16,129,13,128,1,463,402,3618,813,0,0.2851,0.3506,0.3957,1976.2433,4.9070,0.1106,0.3471,0.7463,78.2313,0.0000,15.6443,8.6598,6.0780,0.3212
2027,17,627,101,6,0,15961,14228,4020,2436,5861,3122,412,29,457,325,100,2001,2062,1472,20,153,5,102,1,387,400,3600,898,0,0.2825,0.3538,0.4119,2101.6394,5.2531,0.1294,0.3510,0.7657,76.4706,0.0000,15.2622,9.2225,29.4661,0.3115
