year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war
2017,11,300,100,1,0,21577,5374,23657,8811,6244,3799,2229,1678,2861,2606,5753,5614,87570,1,600,600,300,300,148,4696,1000,0,157,77,471,36,5,41,223,240,544,695,325,217,63,902,679,229,56,35,66,68,61,13.6683,0.2894,0.3451,0.4084,0.7534,10.4564,6.3619,0.7887,2.8100,0.0933,4.3641,0.5417,0.5000,3.7150,0.7014,0.2903,33.7261,0.6031,4.3641,145.9500,0.0000,1.4740,0.5061,2.2640,0.3306,-24.3057,''
2018,11,298,100,1,0,21550,5422,23638,8843,6048,4007,2074,1723,2742,2537,5815,5518,87733,1,602,602,301,301,152,4484,904,0,134,89,571,19,8,59,202,223,552,660,336,202,50,872,667,203,50,37,57,59,41,13.2685,0.2806,0.3383,0.4103,0.7486,10.0385,6.6508,0.9477,2.8598,0.0831,4.2109,0.5581,0.5000,3.4452,0.7525,0.2475,30.4348,0.6330,4.2109,145.7359,0.0000,1.4331,0.5131,2.3256,0.3202,-4.1281,''
2019,11,296,100,1,0,20698,5415,22322,7262,5054,4635,1666,1290,2097,1942,5703,5139,82521,1,600,600,300,300,175,3812,718,0,110,82,442,26,2,91,199,222,539,581,398,215,37,781,588,166,61,56,44,36,33,10.9123,0.2442,0.2942,0.3509,0.6450,8.3995,7.7031,0.7346,2.1439,0.1017,3.2275,0.6633,0.5000,2.7767,0.8255,0.1721,28.2313,0.6901,3.2275,137.5350,0.0000,1.1715,0.5260,3.5930,0.2932,56.2709,''
2020,11,299,100,1,0,20919,5429,23222,8635,5250,5140,2062,1826,2725,2551,5958,4549,88136,1,600,600,300,300,163,3369,1069,84,119,120,692,23,3,103,294,271,563,427,321,213,42,897,594,169,37,28,103,45,44,12.1788,0.2510,0.3176,0.4128,0.7304,8.7027,8.5204,1.1471,3.0269,0.0617,0.0000,0.5350,0.5000,3.4367,0.7951,0.1972,28.4512,0.6276,4.2287,146.8933,0.0000,1.3033,0.5671,2.8149,0.2998,-1.5716,''
2021,11,298,100,1,0,21097,5454,23397,8471,5400,4389,2137,1930,2787,2601,5978,5240,88554,0,600,600,300,300,131,3638,1044,38,134,127,591,7,8,58,203,190,557,472,306,208,71,938,656,190,43,33,339,138,41,12.4092,0.2560,0.3220,0.4015,0.7236,8.9109,7.2426,0.9752,3.1848,0.0717,4.2921,0.5100,0.5000,3.5617,0.6485,0.3413,28.9634,0.5938,4.2921,147.5900,0.0000,1.3440,0.5329,2.2741,0.2959,-7.3476,''
2022,11,300,100,1,0,20467,5351,22717,8121,5118,4375,2021,1831,2643,2482,6151,4788,86325,0,600,600,300,300,157,3389,1032,43,180,120,577,18,8,62,206,188,558,478,356,230,69,855,631,179,42,27,332,103,39,12.0039,0.2501,0.3149,0.3968,0.7117,8.6081,7.3584,0.9705,3.0796,0.0700,4.1745,0.5933,0.5000,3.3683,0.6947,0.3000,28.3677,0.6526,4.1745,143.8750,0.0000,1.2986,0.5623,2.3894,0.2893,-6.4026,''
2023,11,697,100,1,1,20729,5357,22879,8491,5304,4423,2070,1738,2731,2554,5564,5373,86998,0,602,602,301,301,133,3537,992,39,159,130,645,10,4,42,203,210,547,426,326,193,60,1199,860,254,55,39,350,163,120,12.1837,0.2559,0.3176,0.4096,0.7272,8.9110,7.4308,1.0836,2.9199,0.0914,0.0000,0.5415,0.5000,3.4385,0.6891,0.3109,29.5349,0.4562,4.2908,144.5150,0.0000,1.3145,0.5087,2.5449,0.2945,-14.5622,''
2024,11,300,100,1,1,20562,5345,23075,8478,5256,4901,2153,2049,2839,2681,5201,5222,88697,2,600,600,300,300,140,3466,1027,88,161,94,669,11,3,37,243,212,542,499,306,196,55,1232,930,291,58,28,382,92,127,12.6557,0.2556,0.3271,0.4123,0.7394,8.8490,8.2514,1.1263,3.4497,0.0967,4.5137,0.5100,0.5000,3.5883,0.7179,0.2806,31.2903,0.4399,4.5137,147.8283,0.0000,1.3665,0.4990,2.3919,0.3027,-30.6216,''
2025,25,731,100,1,1,27465,7119,30359,11404,6973,6224,2778,2411,3655,3444,6971,7201,114600,2,800,800,400,400,175,4446,1506,17,192,138,883,36,8,91,252,266,760,643,442,248,70,1674,1256,417,40,59,402,122,160,12.1986,0.2539,0.3181,0.4152,0.7333,8.8146,7.8678,1.1162,3.0478,0.0500,4.3536,0.5525,0.5000,3.4725,0.7143,0.2823,33.2006,0.4540,4.3536,143.2500,0.0000,1.3180,0.4919,2.5815,0.2964,-16.9665,''
2026,25,727,100,1,1,27590,7126,30534,11709,7041,6462,2789,2455,3721,3483,7055,6914,116476,1,800,800,400,400,201,4475,1455,40,182,120,991,23,8,103,266,259,753,602,413,283,76,1817,1338,424,47,53,414,117,195,12.3198,0.2552,0.3200,0.4244,0.7444,8.8922,8.1610,1.2516,3.1005,0.0587,4.3988,0.5162,0.5000,3.4863,0.7256,0.2686,31.6891,0.4144,4.3988,145.5950,0.0000,1.3325,0.5050,2.6322,0.2978,-18.3007,''
