"team_id","league_id","ip","bf","tb","ha","k","rs","r","er","gb","fb","pi","w","l","s","hra","qs","svo","bs","ra","cg","sho","sb","cs","hld","r9","avg","obp","slg","ops","h9","k9","hr9","bb9","fip","era","whip","gbfbp","kbb","babip","Walks"
1,100,210,906,328,212,178,76,127,115,208,209,3483,10,13,6,27,8,8,2,58,0,2,24,6,1,12.9019,0.2624,0.3337,0.4059,0.7396,9.057,7.6044,1.1535,3.5032,4.5725,4.913,1.3956,0.4988,2.1707,0.3033,90
2,100,209,921,367,232,173,94,109,101,203,227,3403,14,10,7,25,14,11,4,51,4,2,3,2,8,13.1131,0.2752,0.3312,0.4353,0.7665,9.9745,7.4379,1.0748,2.7946,4.2317,4.3424,1.4188,0.4721,2.6615,0.3185,75
3,100,206,904,311,206,164,58,119,104,208,215,3276,9,14,6,20,7,12,6,59,0,0,10,2,3,13.021,0.2581,0.3311,0.3897,0.7208,8.971,7.1419,0.871,3.8323,4.2194,4.529,1.4226,0.4917,1.8636,0.2971,101
9,100,213,877,320,186,225,99,97,89,191,194,3339,17,7,7,34,14,12,5,54,0,2,13,6,4,10.7324,0.2311,0.2896,0.3975,0.6871,7.8592,9.507,1.4366,2.7042,4.2347,3.7606,1.1737,0.4961,3.5156,0.2764,68
10,100,231,939,302,185,227,128,85,78,212,228,3614,19,6,8,25,20,12,4,38,3,2,4,2,3,10.1153,0.2154,0.2769,0.3516,0.6285,7.1974,8.8314,0.9726,2.7233,3.7036,3.0346,1.1023,0.4818,3.2429,0.2614,77
11,100,239,1051,422,254,212,78,143,134,248,226,4027,9,17,2,39,12,5,3,67,1,4,26,3,9,13.2176,0.2694,0.3343,0.4475,0.7818,9.5649,7.9833,1.4686,3.3891,4.8794,5.046,1.4393,0.5232,2.3556,0.3063,97
16,101,202,867,302,214,121,110,98,93,208,240,3149,13,10,8,20,14,15,4,38,1,2,11,3,2,12.944,0.273,0.3356,0.3852,0.7208,9.5189,5.3822,0.8896,3.2026,0,4.1367,1.4135,0.4643,1.6806,0.2989,77
17,101,221,1062,432,303,156,62,174,158,231,242,3960,7,18,5,26,7,8,3,61,0,1,19,4,4,17.1596,0.3248,0.3977,0.463,0.8608,12.3208,6.3434,1.0572,4.3916,0,6.4247,1.8569,0.4884,1.4444,0.3645,120
18,101,215,908,269,200,133,67,87,74,232,245,3402,15,9,7,16,11,12,5,62,0,1,21,12,11,11.9536,0.2466,0.3167,0.3317,0.6484,8.3591,5.5588,0.6687,3.3437,0,3.0929,1.3003,0.4864,1.6625,0.2754,87
19,101,213,932,371,253,146,72,114,109,236,217,3446,13,11,7,27,7,13,6,65,0,0,21,8,8,13.7531,0.2956,0.3498,0.4334,0.7832,10.6734,6.1594,1.1391,2.7,0,4.5984,1.4859,0.521,2.2812,0.3294,73
24,100,228,922,290,177,263,115,83,75,187,211,3525,16,9,5,24,17,7,2,52,0,3,11,3,5,9.6964,0.2082,0.2668,0.3412,0.608,6.9766,10.3664,0.946,2.365,3.2576,2.9562,1.038,0.4698,4.3833,0.2703,71
25,100,229,1092,446,268,182,50,186,166,223,259,4243,4,22,2,42,9,6,4,74,1,0,18,1,5,16.0901,0.2872,0.3758,0.478,0.8538,10.5174,7.1424,1.6483,5.298,5.9657,6.5145,1.7573,0.4627,1.3481,0.3117,142
