player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,zr
1,2021,17,101,6,0,1,15,6,9,0,56,31,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4003
1,2022,17,101,6,0,1,9,3,6,0,49,26,0,0,0,0,0,0,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3926
1,2023,17,101,6,0,1,10,7,2,0,60,37,0,1,0,0,0,0,0,1,7,7,0,3,3,2,2,1,1,0,0,0,0,0,0,0.1465
1,2024,17,101,6,0,1,5,4,1,0,55,35,0,0,0,0,0,0,0,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,-0.1284
1,2025,17,101,6,0,1,7,6,1,0,34,25,0,0,0,0,0,0,0,0,7,7,0,6,6,0,0,1,1,0,0,0,0,0,0,0.2732
1,2026,17,101,6,0,1,5,4,1,0,45,31,0,0,0,0,0,0,0,2,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,-0.4360
2,2021,17,101,6,0,1,9,4,4,0,53,23,0,1,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.8937
2,2022,17,101,6,0,1,9,3,5,0,52,28,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9500
3,2021,17,101,6,0,1,9,5,4,0,33,35,0,0,0,0,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2121
3,2022,17,101,6,0,1,7,4,3,0,32,32,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5759
