player_id,team_id,league_id,position,role,uniform_number,playing_level,is_active,is_on_secondary,is_on_dl,is_on_dl60,must_be_active,just_signed,was_on_active,was_on_secondary,was_on_dl,mlb_service_years,secondary_service_years,pro_service_years,mlb_service_days,secondary_service_days,pro_service_days,mlb_service_days_this_year,secondary_service_days_this_year,pro_service_days_this_year,dl_days_this_year,years_protected_from_rule_5,is_on_waivers,designated_for_assignment,irrevocable_waivers,days_on_waivers,days_on_waivers_left,days_on_dfa_left,claimed_team_id,last_day_on_waivers,options_used,option_used_this_year,has_received_arbitration,was_traded,trade_status
1,17,101,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,101,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,101,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,101,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,175,0,175,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,100,9,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1065,0,1119,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
9,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,142,0,142,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,100,1,11,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
14,24,100,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
15,10,100,8,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,100,1,11,0,0,1,0,0,0,0,0,0,0,0,5,0,5,815,0,869,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,100,1,11,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,100,1,11,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,210,0,210,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2,100,2,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,570,0,588,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,100,1,11,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
23,19,101,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142,0,142,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,100,3,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1099,0,1153,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,4,0,5,605,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,4,0,5,622,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,100,1,11,0,0,1,0,0,0,0,0,0,0,0,8,0,8,1174,0,1228,97,0,97,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
28,2,100,4,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,888,0,924,86,0,86,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,100,5,0,0,0,1,0,0,0,0,0,0,0,0,8,0,8,1187,0,1241,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
34,9,100,1,12,0,0,1,0,0,0,0,0,0,0,0,5,0,5,814,0,868,97,0,97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,18,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38,17,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,427,21,427,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
40,17,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
41,17,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
43,24,100,1,12,0,0,1,0,0,0,0,0,0,0,0,8,0,8,1242,0,1296,97,0,97,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
44,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,143,21,143,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
45,9,100,1,11,0,0,1,0,0,0,0,0,0,0,0,9,0,9,1386,0,1440,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,100,1,12,0,0,1,0,0,0,0,0,0,0,0,9,0,7,1386,0,1440,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
48,10,100,6,0,0,0,1,0,0,0,0,0,0,0,0,9,0,9,1386,0,1440,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,6,0,7,1003,0,1057,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,100,1,12,0,0,1,0,0,0,0,0,0,0,0,9,0,9,1386,0,1440,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
57,11,100,1,12,0,0,1,0,0,0,0,0,0,0,0,9,0,9,1386,0,1440,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,9,0,10,1379,0,1433,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
62,24,100,1,11,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1476,0,1530,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
65,11,100,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,5,815,0,869,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3,100,1,11,0,0,1,0,0,0,0,0,0,0,0,6,0,6,957,0,1011,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
70,24,100,1,12,0,0,1,0,0,0,0,0,0,0,0,4,0,5,707,0,761,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
76,11,100,1,11,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,100,1,11,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,100,6,0,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2,100,9,0,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
90,3,100,1,12,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1494,0,1548,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0,6,860,0,914,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
96,16,101,1,12,0,0,0,0,0,0,0,0,0,0,0,2,0,2,288,0,288,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
109,16,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,9,100,5,0,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16,101,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,10,100,3,0,0,0,1,0,0,0,0,0,0,0,0,11,0,11,1674,0,1786,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
121,9,100,4,0,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
122,1,100,6,0,0,0,1,0,0,0,0,0,0,0,0,8,0,8,1242,21,1296,97,0,97,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
124,24,100,7,0,0,0,1,0,0,0,0,0,0,0,0,8,0,13,1242,0,1296,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67,0,67,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
126,9,100,1,11,0,0,1,0,0,0,0,0,0,0,0,10,0,10,1530,0,1584,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
127,9,100,1,12,0,0,1,0,0,0,0,0,0,0,0,6,0,6,957,0,1011,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
134,17,101,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,165,21,162,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
137,2,100,7,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,957,0,1011,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
138,25,100,1,12,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
139,18,101,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,25,100,5,0,0,0,1,0,0,0,0,0,0,0,0,7,0,7,1100,0,1154,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
144,18,101,1,12,0,0,1,0,0,0,0,0,0,0,0,1,0,1,144,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9,100,1,11,0,0,1,0,0,0,0,0,0,0,0,5,0,5,815,0,869,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
146,1,100,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,4,673,0,727,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
147,1,100,2,0,0,0,1,0,0,0,0,0,0,0,0,8,0,8,1242,21,1296,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
149,24,100,3,0,0,0,1,0,0,0,0,0,0,0,0,6,0,6,957,0,1011,97,0,97,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,2,0,3,430,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,8,0,9,1289,0,1325,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
158,10,100,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,5,815,0,869,97,0,97,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
