team_id,starter_0,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7
1,208,525,18,17,208,525,18,17
2,27,442,453,77,27,442,453,77
3,456,329,457,465,456,329,457,465
7,208,0,0,0,0,0,0,0
8,12,0,0,0,0,0,0,0
9,45,145,126,16,45,145,126,16
10,12,227,368,174,12,227,368,174
11,446,401,396,76,446,401,396,76
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,534,529,545,534,529,545,534,529
17,556,544,549,556,544,549,556,544
18,538,548,559,538,548,559,538,548
19,493,503,573,493,503,573,493,503
22,534,0,0,0,0,0,0,0
23,548,0,0,0,0,0,0,0
24,200,360,399,62,200,360,399,62
25,22,335,481,488,22,335,481,488
