team_id,year,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
1,2028,100,1,0,930,800,184,174,0,0,42,3,24,21,3,104,108,108,7,14,0,8,0,23,24,216,69,0,0.2300,0.3290,0.3800,105.0692,4.3644,0.1500,0.0000,0.7090,87.5000,0.0000
2,2028,100,1,0,949,861,210,212,0,0,58,3,36,11,6,99,102,76,7,7,3,2,0,24,25,225,97,0,0.2439,0.3097,0.4437,113.6470,4.4730,0.1998,0.0000,0.7534,64.7059,0.0000
3,2028,100,1,0,957,877,194,229,0,0,46,4,23,7,2,88,88,64,0,9,0,7,0,31,26,234,73,0,0.2212,0.2790,0.3615,83.9319,3.1344,0.1403,0.0000,0.6405,77.7778,0.0000
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2028,100,1,0,1113,983,311,187,0,0,61,8,53,0,0,200,206,111,1,13,0,6,0,30,27,243,122,0,0.3164,0.3908,0.5565,211.8154,8.0777,0.2401,0.0000,0.9473,0.0000,0.0000
10,2028,100,1,0,1010,897,259,190,0,0,49,5,48,50,8,161,166,96,1,9,0,8,0,15,25,225,102,0,0.2887,0.3604,0.5151,175.2943,7.0747,0.2263,0.0000,0.8754,86.2069,0.0000
11,2028,100,1,0,991,904,202,234,0,0,35,6,31,0,0,111,116,74,3,7,0,6,0,24,27,243,72,0,0.2235,0.2856,0.3783,95.4981,3.5225,0.1549,0.0000,0.6639,0.0000,0.0000
12,2020,1000,12,0,2306,2062,512,522,0,0,74,5,74,20,19,242,251,216,3,16,0,12,0,55,60,540,153,0,0.2483,0.3226,0.3967,259.8008,4.2877,0.1484,0.0000,0.7193,51.2821,0.0000
13,2020,1000,12,0,2524,2292,590,591,0,0,109,14,111,17,23,325,335,179,13,40,0,13,0,48,66,594,234,0,0.2574,0.3205,0.4625,330.1585,4.9912,0.2051,0.0000,0.7830,42.5000,0.0000
14,2020,1000,12,0,2558,2306,600,601,0,0,109,11,69,32,25,287,298,222,17,22,0,8,0,53,66,594,189,0,0.2602,0.3299,0.4068,304.7889,4.5922,0.1466,0.0000,0.7367,56.1404,0.0000
15,2020,1000,12,0,2311,2088,536,483,0,0,101,6,61,64,35,249,254,171,1,34,0,18,0,51,60,540,168,0,0.2567,0.3206,0.3985,262.9296,4.2869,0.1418,0.0000,0.7191,64.6465,0.0000
16,2028,101,6,0,994,888,241,139,0,0,17,1,16,23,12,121,121,88,0,12,0,6,0,25,25,225,34,0,0.2714,0.3431,0.3468,106.7609,4.1776,0.0755,0.0000,0.6899,65.7143,0.0000
17,2028,101,6,0,949,855,252,129,0,0,21,3,16,35,14,109,113,77,2,8,0,9,0,21,24,216,40,0,0.2947,0.3551,0.3825,118.2096,4.9330,0.0877,0.0000,0.7376,71.4286,0.0000
18,2028,101,6,0,1015,931,274,147,0,0,20,2,14,0,0,104,112,73,2,5,0,6,0,33,26,234,36,0,0.2943,0.3468,0.3652,114.0480,4.4243,0.0709,0.0000,0.7120,0.0000,0.0000
19,2028,101,6,0,1046,935,285,147,0,0,34,1,30,4,2,136,139,95,2,10,0,6,0,34,25,225,65,0,0.3048,0.3728,0.4396,149.9187,5.8494,0.1348,0.0000,0.8124,66.6667,0.0000
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,2028,100,1,0,859,789,203,186,0,0,37,3,25,26,5,93,97,63,0,4,1,2,0,16,24,216,65,0,0.2573,0.3147,0.4068,102.4697,4.5355,0.1496,0.0000,0.7215,83.8710,0.0000
25,2028,100,1,0,937,869,200,190,0,0,41,4,21,27,7,94,95,53,2,10,0,5,0,24,26,234,66,0,0.2301,0.2807,0.3590,85.2978,3.2667,0.1289,0.0000,0.6397,79.4118,0.0000
