team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2028,100,1,1,616,158,719,271,170,108,0,80,111,110,185,161,2713,0,132,0,7,5,17,116,29,1,12,3,22,2,0,1,12,10,55,15,0,29,12,132,0,0,7,2,14,14.8101,0.2760,0.3621,0.4399,0.8021,9.6835,6.1519,1.2532,4.5570,0.0000,0.0000,0.0000,0.5833,0.0000,0.5862,0.4138,0.4167,6.2658,20.5530,0.0000,1.5823,0.5347,1.3500,0.2972
2,2028,100,1,1,642,169,725,267,157,170,0,74,94,91,149,164,2852,2,152,0,12,4,20,98,33,0,3,1,25,1,0,3,5,6,56,18,0,24,4,152,0,0,10,4,20,12.5717,0.2445,0.3269,0.4159,0.7428,8.3281,9.0177,1.3261,3.9253,0.0000,0.0000,0.0000,0.7500,0.0000,0.8333,0.1667,0.3684,4.8271,18.7632,0.0000,1.3615,0.4760,2.2973,0.2933
3,2028,100,1,1,693,172,824,332,197,127,0,114,123,106,169,191,3127,2,149,0,3,10,10,126,36,0,8,6,29,0,0,22,16,9,57,22,0,14,4,149,0,0,19,4,9,16.6795,0.2843,0.3883,0.4791,0.8674,10.2683,6.6197,1.5116,5.9421,0.0000,0.0000,0.0000,0.2308,0.0000,0.7143,0.2857,0.3826,5.5251,20.9866,0.0000,1.8012,0.4694,1.1140,0.3083
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2028,100,1,1,658,169,753,288,181,140,0,78,98,92,164,172,2939,1,135,0,10,10,14,119,39,1,4,1,22,0,0,2,9,12,58,21,0,26,12,135,0,0,15,4,17,14.4035,0.2751,0.3604,0.4377,0.7981,9.6201,7.4409,1.1693,4.1457,0.0000,0.0000,0.0000,0.5000,0.0000,0.5385,0.4615,0.4296,4.8898,21.7704,0.0000,1.5295,0.4881,1.7949,0.3180
10,2028,100,1,1,421,110,476,199,102,89,0,48,62,54,118,111,1846,2,98,0,4,9,17,54,21,1,3,5,22,0,0,3,3,3,47,9,0,22,5,98,0,0,2,2,16,12.4428,0.2423,0.3221,0.4727,0.7948,8.2952,7.2380,1.7892,3.9036,0.0000,0.0000,0.0000,0.3077,0.0000,0.7727,0.2273,0.4796,4.3916,18.8367,0.0000,1.3554,0.5153,1.8542,0.2556
11,2028,100,1,1,547,138,616,235,154,129,0,61,79,74,134,128,2351,1,112,0,6,7,11,103,34,0,3,4,13,0,0,0,11,5,50,13,0,17,6,112,0,0,11,2,10,14.3133,0.2815,0.3571,0.4296,0.7868,10.0193,8.3928,0.8458,3.9687,0.0000,0.0000,0.0000,0.4615,0.0000,0.6471,0.3529,0.4464,4.8145,20.9911,0.0000,1.5542,0.5115,2.1148,0.3456
12,2020,1000,12,0,665,174,756,0,168,167,0,75,102,96,183,142,2846,0,96,0,9,8,12,111,32,0,4,5,20,2,0,11,9,12,56,17,0,20,7,96,0,0,11,10,11,13.1897,0.2526,0.3373,0.4060,0.7433,8.6897,8.6379,1.0345,3.8793,0.0000,0.0000,0.0000,0.5294,0.0000,0.6316,0.3500,0.5833,4.9655,29.6458,0.0000,1.3966,0.5631,2.2267,0.3071
13,2020,1000,12,0,641,171,723,0,147,217,0,71,76,73,146,132,2897,1,119,0,13,9,26,102,26,0,4,0,19,0,0,2,6,7,59,11,0,38,10,119,0,0,6,3,21,11.8191,0.2293,0.3112,0.3588,0.6700,7.7218,11.3988,0.9981,3.7296,0.0000,0.0000,0.0000,0.5909,0.0000,0.7222,0.2632,0.4958,3.8346,24.3445,0.0000,1.2724,0.5252,3.0563,0.3130
14,2020,1000,12,0,638,172,716,0,156,174,0,63,80,79,176,134,2643,1,114,0,8,11,20,101,28,0,6,2,25,1,0,3,4,9,56,16,0,29,9,114,0,0,12,9,15,11.9072,0.2445,0.3184,0.4122,0.7307,8.1470,9.0870,1.3056,3.2901,0.0000,0.0000,0.0000,0.4211,0.0000,0.6897,0.3103,0.4912,4.1257,23.1842,0.0000,1.2708,0.5677,2.7619,0.2944
15,2020,1000,12,0,687,181,781,0,160,200,0,83,85,82,193,130,3081,2,110,0,10,13,15,106,21,0,3,6,27,0,0,8,15,8,59,19,0,21,5,110,0,0,9,3,3,12.4349,0.2329,0.3214,0.3988,0.7202,7.9266,9.9083,1.3376,4.1119,0.0000,0.0000,0.0000,0.4348,0.0000,0.7500,0.2381,0.5364,4.0624,28.0091,0.0000,1.3376,0.5975,2.4096,0.2873
16,2028,101,6,1,596,153,684,207,161,104,0,77,67,58,164,158,2594,0,104,0,12,3,18,135,16,0,4,0,10,1,0,5,10,7,55,22,0,23,3,104,0,0,20,6,10,14.4118,0.2701,0.3582,0.3473,0.7055,9.4706,6.1176,0.5882,4.5294,0.0000,0.0000,0.0000,0.8000,0.0000,0.8571,0.1304,0.5288,3.4118,24.9423,0.0000,1.5556,0.5093,1.3506,0.3107
