team_id,year,league_id,sub_league_id,division_id,name,abbr,nickname,best_hitter_id,best_pitcher_id,best_rookie_id,manager_id,made_playoffs,won_playoffs,fired,position_in_division
1,2017,100,0,0,"New York","NYV","Voyagers",275,223,275,1,1,1,0,1
1,2018,100,0,0,"New York","NYV","Voyagers",177,223,94,1,0,0,0,2
1,2019,100,0,0,"New York","NYV","Voyagers",177,208,51,1,0,0,0,2
1,2020,100,0,0,"New York","NYV","Voyagers",180,207,31,1,0,0,0,3
1,2021,100,0,0,"New York","NYV","Voyagers",180,10,14,0,0,0,0,2
1,2022,100,0,0,"New York","NYV","Voyagers",124,208,149,0,0,0,0,2
1,2023,100,0,0,"New York","NYV","Voyagers",180,208,311,0,0,0,0,2
1,2024,100,0,0,"New York","NYV","Voyagers",122,211,334,0,0,0,0,2
1,2025,100,0,0,"New York","NYV","Voyagers",29,208,354,0,0,0,0,3
1,2026,100,0,0,"New York","NYV","Voyagers",29,17,424,0,0,0,0,3
1,2027,100,0,0,"New York","NYV","Voyagers",29,17,423,0,0,0,0,3
1,2028,100,0,0,"New York","NYV","Voyagers",81,208,525,0,1,1,0,1
2,2017,100,0,0,"Outer Banks","OBX","Aviators",264,221,264,1,1,0,0,2
2,2018,100,0,0,"Outer Banks","OBX","Aviators",205,168,91,1,0,0,0,3
2,2019,100,0,0,"Outer Banks","OBX","Aviators",245,213,54,1,0,0,0,3
2,2020,100,0,0,"Outer Banks","OBX","Aviators",245,213,36,1,0,0,0,2
2,2021,100,0,0,"Outer Banks","OBX","Aviators",24,27,24,0,0,0,0,3
2,2022,100,0,0,"Outer Banks","OBX","Aviators",206,27,137,0,0,0,0,3
2,2023,100,0,0,"Outer Banks","OBX","Aviators",206,27,316,0,0,0,0,3
2,2024,100,0,0,"Outer Banks","OBX","Aviators",24,77,337,0,1,0,0,1
2,2025,100,0,0,"Outer Banks","OBX","Aviators",255,77,356,0,1,0,0,1
2,2026,100,0,0,"Outer Banks","OBX","Aviators",159,77,306,0,1,0,0,2
2,2027,100,0,0,"Outer Banks","OBX","Aviators",87,27,442,0,1,0,0,2
2,2028,100,0,0,"Outer Banks","OBX","Aviators",137,27,502,0,0,0,0,3
3,2017,100,0,0,"Providence","PRO","Crabs",269,203,269,1,0,0,0,3
3,2018,100,0,0,"Providence","PRO","Crabs",173,197,82,1,1,0,0,1
3,2019,100,0,0,"Providence","PRO","Crabs",204,203,57,1,1,0,0,1
3,2020,100,0,0,"Providence","PRO","Crabs",171,211,39,1,1,0,0,1
3,2021,100,0,0,"Providence","PRO","Crabs",177,211,22,0,1,0,0,1
3,2022,100,0,0,"Providence","PRO","Crabs",173,211,0,0,1,0,0,1
3,2023,100,0,0,"Providence","PRO","Crabs",173,200,0,0,1,0,0,1
3,2024,100,0,0,"Providence","PRO","Crabs",81,56,346,0,0,0,0,3
3,2025,100,0,0,"Providence","PRO","Crabs",81,203,0,0,0,0,0,4
3,2026,100,0,0,"Providence","PRO","Crabs",81,69,402,0,0,0,0,4
3,2027,100,0,0,"Providence","PRO","Crabs",81,69,445,0,0,0,0,4
3,2028,100,0,0,"Providence","PRO","Crabs",418,445,454,0,0,0,0,4
9,2017,100,0,1,"Berkeley","BRK","Bulldogs",271,211,271,1,0,0,0,3
9,2018,100,0,1,"San Antonio","SAS","Sloths",246,211,73,1,0,0,0,3
