team_id,year,league_id,sub_league_id,division_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2017,100,0,0,1,0,3599,908,3918,0,988,658,414,248,444,394,997,914,14442,2,100,100,55,45,23,747,157,0,29,11,73,5,2,9,28,40,93,114,62,38,13,142,7,5,15,12,5,12.6383,0.2745,0.3258,0.3851,0.7109,9.7858,6.5172,0.7230,2.4563,0.0700,4.1080,0.6200,0.5500,4.1400,0.6389,0.3421,0.6549,3.9024,144.4200,0.0000,1.3602,0.5217,2.6532,0.3158
1,2018,100,0,0,1,0,3666,913,3992,0,1039,720,359,258,445,409,924,951,14789,2,101,101,51,50,26,785,154,0,21,12,88,2,0,17,33,47,100,99,57,37,11,145,1,3,9,6,3,13.2390,0.2834,0.3367,0.4040,0.7407,10.2346,7.0923,0.8668,2.5414,0.0099,3.8976,0.5644,0.5050,3.5545,0.7027,0.2973,0.6897,4.0288,146.4257,0.0000,1.4196,0.4928,2.7907,0.3303
1,2019,100,0,0,1,0,3422,893,3657,0,848,786,291,183,362,341,910,858,13415,0,100,100,49,51,31,629,115,0,19,10,94,0,0,13,33,33,87,99,64,37,6,115,13,10,4,9,4,10.7234,0.2478,0.2909,0.3697,0.6606,8.5465,7.9216,0.9474,1.8443,0.1300,3.3811,0.6400,0.4900,2.9100,0.8378,0.1622,0.7565,3.4367,134.1500,0.0000,1.1545,0.5147,4.2951,0.2944
1,2020,100,0,0,1,0,3525,887,3916,0,954,773,243,312,535,488,998,781,15047,0,100,100,30,70,18,638,185,7,18,20,111,5,0,18,59,54,95,72,45,24,5,135,5,5,24,8,2,13.3935,0.2706,0.3377,0.4289,0.7666,9.6798,7.8433,1.1263,3.1657,0.0500,0.0000,0.4500,0.3000,2.4300,0.7826,0.2083,0.7037,4.9515,148.9802,0.0000,1.4273,0.5610,2.4776,0.3170
1,2021,100,0,0,1,0,3552,907,3990,0,963,595,274,357,531,493,998,1000,15238,2,100,100,36,64,13,642,180,11,34,22,119,1,0,1,36,36,95,65,44,25,10,169,5,3,69,26,2,13.4455,0.2711,0.3408,0.4347,0.7755,9.5487,5.8997,1.1799,3.5398,0.0500,5.0476,0.4400,0.3600,2.7400,0.5652,0.4000,0.5621,4.8884,152.3800,0.0000,1.4543,0.4995,1.6667,0.2939
1,2022,100,0,0,1,0,3358,888,3752,0,799,751,355,319,443,413,985,817,14404,1,100,100,50,50,25,536,142,7,34,16,105,4,1,2,40,33,96,65,59,36,10,145,4,5,67,22,6,11.6612,0.2379,0.3074,0.3836,0.6910,8.0949,7.6086,1.0638,3.2319,0.0400,4.3386,0.5900,0.5000,3.5500,0.7143,0.2778,0.6621,4.1842,144.0400,0.0000,1.2585,0.5466,2.3542,0.2737
1,2023,100,0,0,1,1,3499,897,3858,1516,927,790,321,295,462,445,869,913,14908,2,100,100,54,46,22,610,167,6,29,28,122,3,0,7,30,29,94,70,53,26,4,205,6,9,85,34,17,12.5425,0.2649,0.3248,0.4333,0.7580,9.2941,7.9205,1.2232,2.9577,0.0600,0.0000,0.5300,0.5400,3.2100,0.8462,0.1538,0.4585,4.4616,146.1569,0.0000,1.3613,0.4877,2.6780,0.3077
1,2024,100,0,0,1,1,3349,886,3776,1312,805,809,298,349,418,396,865,875,14938,2,100,100,55,45,28,521,162,15,25,21,101,0,0,3,37,38,91,67,56,41,13,180,9,3,69,23,12,12.0992,0.2404,0.3169,0.3918,0.7087,8.1711,8.2117,1.0252,3.5425,0.0900,4.4276,0.5600,0.5500,2.9800,0.6829,0.3171,0.5056,4.0195,149.3800,0.0000,1.3015,0.4971,2.3181,0.2857
1,2025,100,0,0,1,1,3409,894,3772,1322,840,670,334,297,404,382,907,992,14197,1,100,100,52,48,25,557,174,5,25,19,90,8,1,4,27,35,94,76,54,35,10,197,6,8,51,14,14,11.7943,0.2464,0.3112,0.3878,0.6990,8.4532,6.7425,0.9057,2.9888,0.0600,4.3102,0.5400,0.5200,3.3400,0.7143,0.2857,0.4772,3.8442,141.9700,0.0000,1.2713,0.4776,2.2559,0.2805
1,2026,100,0,0,1,1,3482,887,3886,1528,934,719,323,333,522,480,909,905,14764,2,100,100,45,55,26,614,176,7,29,14,130,3,0,4,44,35,97,76,47,39,13,253,3,6,82,22,32,13.2009,0.2682,0.3357,0.4388,0.7745,9.4698,7.2899,1.3181,3.3763,0.0300,4.8194,0.4700,0.4500,3.2300,0.6667,0.3333,0.3834,4.8667,147.6400,0.0000,1.4273,0.5011,2.1592,0.3020
