team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2029,100,1,1,3466,894,3840,1509,886,835,429,311,483,456,892,842,14674,0,100,100,58,42,23,539,200,6,26,18,129,12,0,4,41,31,96,79,52,32,9,235,4,5,54,11,24,12.3624,0.2556,0.3203,0.4354,0.7557,8.9195,8.4060,1.2987,3.1309,0.0400,0.0000,0.5200,0.5800,4.2900,0.7188,0.2812,0.4085,4.5906,143.8627,0.0000,1.3389,0.5144,2.6849,0.2994
2,2029,100,1,1,3404,908,3799,1330,804,848,338,329,408,392,875,876,14717,2,100,100,53,47,26,493,193,2,27,21,97,4,1,15,31,36,96,83,56,42,15,258,4,7,34,18,35,11.5785,0.2362,0.3080,0.3907,0.6987,7.9633,8.3991,0.9607,3.2586,0.0400,0.0000,0.5600,0.5300,3.3800,0.6341,0.3571,0.3721,3.8826,142.8835,0.0000,1.2469,0.4997,2.5775,0.2844
3,2029,100,1,1,3512,876,3972,1690,1008,782,225,395,597,568,875,837,15162,1,100,100,31,69,14,638,202,7,25,24,144,5,1,37,41,32,100,84,25,26,11,278,0,4,65,23,31,14.7375,0.2870,0.3620,0.4812,0.8432,10.3522,8.0312,1.4789,4.0567,0.0000,0.0000,0.2500,0.3100,2.2500,0.5600,0.4231,0.3597,5.8334,145.7885,0.0000,1.6010,0.5111,1.9797,0.3309
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2029,100,1,1,3462,892,3889,1515,908,778,308,366,515,496,913,860,14782,1,100,100,48,52,20,580,179,6,23,19,130,10,0,3,42,32,100,83,39,33,13,268,0,2,86,21,40,13.1722,0.2623,0.3363,0.4376,0.7739,9.1580,7.8468,1.3112,3.6914,0.0000,0.0000,0.3900,0.4800,3.0800,0.6061,0.3939,0.3731,5.0026,142.1346,0.0000,1.4277,0.5149,2.1257,0.3019
10,2029,100,1,1,3382,893,3704,1344,781,840,522,265,409,375,850,885,13909,0,100,100,66,34,26,476,165,4,18,22,118,3,1,6,32,34,88,62,70,37,11,176,12,10,43,20,25,10.8847,0.2309,0.2920,0.3974,0.6894,7.8712,8.4658,1.1892,2.6708,0.1200,0.0000,0.7000,0.6600,5.2200,0.7027,0.2973,0.5000,3.7794,137.7129,0.0000,1.1713,0.4899,3.1698,0.2715
11,2029,100,1,1,3503,914,3856,1382,846,956,392,305,435,416,804,882,14898,2,100,100,53,47,19,548,172,2,16,14,112,5,0,0,38,30,90,56,59,32,13,222,10,5,66,14,26,11.6206,0.2415,0.3064,0.3945,0.7010,8.3243,9.4067,1.1020,3.0011,0.1000,0.0000,0.5900,0.5300,3.9200,0.5938,0.4062,0.4054,4.0933,146.0588,0.0000,1.2584,0.4769,3.1344,0.2995
12,2020,1000,12,0,2098,540,2332,0,564,501,181,188,298,277,589,435,8803,0,60,60,26,34,12,375,112,0,17,10,67,4,0,13,28,29,56,55,28,20,7,96,4,4,43,26,11,13.0167,0.2688,0.3349,0.4276,0.7625,9.4000,8.3500,1.1167,3.1333,0.0667,4.0373,0.4667,0.4333,3.0167,0.6316,0.3500,0.5833,4.6167,146.7167,0.0000,1.3926,0.5752,2.6649,0.3213
13,2020,1000,12,0,2226,597,2483,0,512,638,241,224,242,230,615,453,9602,2,66,66,43,23,28,355,89,0,8,6,62,3,0,5,15,25,65,39,41,40,10,129,1,7,34,32,22,11.4596,0.2300,0.3065,0.3589,0.6654,7.7100,9.6074,0.9336,3.3731,0.0152,3.5850,0.6212,0.6515,3.6515,0.7368,0.2500,0.5039,3.4635,145.4848,0.0000,1.2315,0.5758,2.8482,0.2934
