team_id,g,w,l,pos,pct,gb,streak,magic_number
1,23,10,13,3,0.4348,5.0000,-5,1000
2,24,14,10,2,0.5833,1.5000,-2,1000
3,23,9,14,4,0.3913,6.0000,-1,1000
7,0,0,0,0,0.0000,0.0000,0,0
8,0,0,0,0,0.0000,0.0000,0,0
9,24,17,7,2,0.7083,1.5000,5,1000
10,25,19,6,1,0.7600,0.0000,4,75
11,26,9,17,3,0.3462,10.5000,1,1000
12,60,26,34,3,0.4333,13.0000,-1,1000
13,60,39,21,1,0.6500,0.0000,2,-7
14,60,31,29,2,0.5167,8.0000,1,1000
15,60,24,36,4,0.4000,15.0000,-2,1000
16,23,13,10,1,0.5652,0.0000,-4,77
17,25,7,18,2,0.2800,8.5000,-3,1000
18,24,15,9,1,0.6250,0.0000,4,68
19,24,13,11,2,0.5417,0.5000,3,1000
22,0,0,0,0,0.0000,0.0000,0,0
23,0,0,0,0,0.0000,0.0000,0,0
24,25,16,9,1,0.6400,0.0000,-1,75
25,26,4,22,4,0.1538,15.5000,1,1000
