team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
1,2030,100,1,1,772,195,834,349,204,188,96,50,110,103,197,178,3054,1,32,32,7,14,0,125,45,1,4,2,32,1,0,0,3,7,0,17,18,0,0,0,1,1,10,2,0,12.0256,0.2642,0.3133,0.4521,0.7654,9.3993,8.6621,1.4744,2.3038,0.0312,0.0000,0.5625,0.3333,3.0000,0.0000,0.0000,0.0000,4.7457,95.4375,0.0000,1.3003,0.5253,3.7600,0.3094
2,2030,100,1,1,754,195,821,285,178,159,115,54,91,80,203,202,3120,1,33,33,16,9,0,117,38,1,1,0,23,2,0,0,5,11,0,16,18,0,0,0,2,0,9,1,0,11.1962,0.2361,0.2963,0.3780,0.6743,8.2014,7.3259,1.0597,2.4881,0.0606,0.0000,0.5455,0.6400,3.4848,0.0000,0.0000,0.0000,3.6860,94.5455,0.0000,1.1877,0.5012,2.9444,0.2705
3,2030,100,1,1,667,167,733,301,194,156,103,59,106,99,165,149,2771,1,33,33,8,14,0,133,36,0,3,4,21,0,0,0,6,4,0,22,8,0,0,0,0,0,11,4,0,13.8227,0.2909,0.3506,0.4513,0.8019,10.4343,8.3904,1.1295,3.1733,0.0000,0.0000,0.2424,0.3636,3.1212,0.0000,0.0000,0.0000,5.3247,83.9697,0.0000,1.5120,0.5255,2.6441,0.3509
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,2030,100,1,1,763,192,848,350,207,154,99,68,131,113,201,197,3219,1,35,35,8,16,0,130,41,0,9,6,30,0,1,0,4,7,0,18,11,0,0,0,0,0,18,2,0,13.1958,0.2713,0.3329,0.4587,0.7917,9.6863,7.2062,1.4038,3.1820,0.0000,0.0000,0.3143,0.3333,2.8286,0.0000,0.0000,0.0000,5.2877,91.9714,0.0000,1.4298,0.5050,2.2647,0.3010
10,2030,100,1,1,853,230,935,336,186,221,194,68,94,90,215,228,3523,0,35,35,23,7,0,106,39,1,5,12,29,0,1,0,7,7,0,14,22,0,0,0,2,1,16,9,0,10.2130,0.2181,0.2797,0.3939,0.6736,7.2783,8.6478,1.1348,2.6609,0.0571,0.0000,0.6286,0.7667,5.5429,0.0000,0.0000,0.0000,3.5217,100.6571,0.0000,1.1043,0.4853,3.2500,0.2582
11,2030,100,1,1,833,220,895,313,183,249,138,51,85,74,200,191,3465,2,34,34,20,6,0,112,41,0,4,1,29,0,0,0,5,7,0,10,22,0,0,0,3,2,13,7,0,9.8293,0.2197,0.2693,0.3758,0.6450,7.4637,10.1556,1.1828,2.0801,0.0882,0.0000,0.6471,0.7692,4.0588,0.0000,0.0000,0.0000,3.0181,101.9118,0.0000,1.0604,0.5115,4.8824,0.2755
12,2020,1000,12,0,1433,366,1576,0,396,334,181,113,196,181,406,293,5957,0,60,60,17,26,0,264,80,0,13,5,47,2,0,2,19,17,0,38,28,0,0,0,4,3,32,16,0,12.9344,0.2763,0.3338,0.4375,0.7713,9.7377,8.2131,1.1557,2.7787,0.0667,0.0000,0.4667,0.3953,3.0167,0.0000,0.0000,0.0000,4.4508,99.2833,0.0000,1.3907,0.5808,2.9558,0.3277
13,2020,1000,12,0,1380,372,1537,0,315,359,214,137,148,139,417,280,5874,1,60,60,26,12,0,216,57,0,4,5,37,2,0,2,6,16,0,26,37,0,0,0,1,1,25,24,0,11.3124,0.2283,0.3045,0.3572,0.6617,7.6141,8.6777,0.8944,3.3115,0.0167,0.0000,0.6167,0.6842,3.5667,0.0000,0.0000,0.0000,3.3599,97.9000,0.0000,1.2140,0.5983,2.6204,0.2814
