date,summary,message_id,team_id_0,player_id_0_0,draft_round_0_0,draft_team_0_0,player_id_0_1,draft_round_0_1,draft_team_0_1,player_id_0_2,draft_round_0_2,draft_team_0_2,player_id_0_3,draft_round_0_3,draft_team_0_3,player_id_0_4,draft_round_0_4,draft_team_0_4,cash_0,team_id_1,player_id_1_0,draft_round_1_0,draft_team_1_0,player_id_1_1,draft_round_1_1,draft_team_1_1,player_id_1_2,draft_round_1_2,draft_team_1_2,player_id_1_3,draft_round_1_3,draft_team_1_3,player_id_1_4,draft_round_1_4,draft_team_1_4,cash_1
"2017-1-2","The <Berkeley Bulldogs:team#9> trade 19-year-old second baseman <Nolan Anderson:player#251> to the <Outer Banks Aviators:team#2> for 19-year-old third baseman <Harley Weewax:player#184>.",1,9,251,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,2,184,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-5-2","The <Berkeley Bulldogs:team#9> trade nothing to the <Vancouver Vandals:team#11> for 21-year-old reliever <Chuck Gamble:player#165>.",45,9,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,11,165,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-8-18","The <Outer Banks Aviators:team#2> trade 21-year-old reliever <Ricky Vaughn:player#229> to the <Providence Crabs:team#3> for 19-year-old starting pitcher <Buddy McKnight:player#228>.",122,2,229,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,3,228,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-8-18","The <Providence Crabs:team#3> trade 17-year-old reliever <Victor Ball:player#216> to the <Vancouver Vandals:team#11> for nothing.",123,3,216,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,11,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-10-27","The <Vancouver Vandals:team#11> trade 19-year-old starting pitcher <Darnell Turner:player#198> to the <Death Valley Scorpions:team#10> for 17-year-old reliever <John Smoltz Jr.:player#219>.",187,11,198,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,10,219,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-11-11","The <San Antonio Sloths:team#9> trade nothing to the <Providence Crabs:team#3> for 19-year-old third baseman <Connor MacDonald:player#255>.",192,9,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,3,255,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-11-11","The <San Antonio Sloths:team#9> trade 23-year-old shortstop <Bobby Shmurda:player#245> to the <Outer Banks Aviators:team#2> for 19-year-old shortstop <Julian O'Sullivan:player#246>.",195,9,245,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,2,246,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-11-20","The <San Antonio Sloths:team#9> trade nothing to the <Vancouver Vandals:team#11> for 19-year-old closer <Alexander Ovechkin:player#195>.",198,9,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,11,195,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2017-12-1","The <San Antonio Sloths:team#9> trade 24-year-old right fielder <Dirty Dongs:player#262> and 22-year-old catcher <Michael Martin:player#191> to the <Death Valley Scorpions:team#10> for 20-year-old right fielder <Sophia Bennett:player#258> and 23-year-old ",202,9,262,0,'',191,0,'',0,0,'',0,0,'',0,0,'',0,10,258,0,'',274,0,'',0,0,'',0,0,'',0,0,'',0
"2017-12-25","The <Providence Crabs:team#3> trade 22-year-old shortstop <Colton Hunter:player#186> to the <Death Valley Scorpions:team#10> for nothing.",210,3,186,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,10,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-1-16","The <San Antonio Sloths:team#9> trade 21-year-old starting pitcher <Zach Peterson:player#224> to the <Death Valley Scorpions:team#10> for 21-year-old starting pitcher <Landon Hope:player#225> and 19-year-old starting pitcher <Khamati Kahn:player#126>.",214,9,224,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,10,225,0,'',126,0,'',0,0,'',0,0,'',0,0,'',0
"2018-8-16","The <Death Valley Scorpions:team#10> trade 19-year-old starting pitcher <Benton MacKaye:player#100> to the <San Antonio Sloths:team#9> for 18-year-old reliever <Will Morris:player#102>.",309,10,100,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,9,102,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-8-27","The <San Antonio Sloths:team#9> trade 21-year-old left fielder <Robert Phelps:player#271> to the <Providence Crabs:team#3> for 19-year-old left fielder <Nathaniel Zhou:player#269>.",320,9,271,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,3,269,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-8-27","The <San Antonio Sloths:team#9> trade 22-year-old reliever <Keith Shields:player#220> to the <New York Voyagers:team#1> for nothing.",321,9,220,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,1,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-8-27","The <San Antonio Sloths:team#9> trade 20-year-old third baseman <Connor MacDonald:player#255> to the <Vancouver Vandals:team#11> for 17-year-old first baseman <Camilla Sawashiro:player#73>.",322,9,255,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,11,73,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-10-15","The <Death Valley Scorpions:team#10> trade nothing to the <Outer Banks Aviators:team#2> for 21-year-old reliever <Felipe Fernandez:player#218>.",382,10,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,2,218,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2018-10-15","The <Providence Crabs:team#3> trade 21-year-old left fielder <Robert Phelps:player#271> to the <San Antonio Sloths:team#9> for 20-year-old left fielder <Nathaniel Zhou:player#269>.",385,3,271,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,9,269,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2019-1-17","The <Vancouver Vandals:team#11> trade 22-year-old right fielder <Felipe Rios:player#176> to the <San Antonio Sloths:team#9> for nothing.",393,11,176,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,9,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2020-4-18","The <Death Valley Scorpions:team#10> trade 24-year-old center fielder <Marcos Gonzalez:player#178> to the <Vancouver Vandals:team#11> for 22-year-old center fielder <Kevin Biggio:player#268>.",623,10,178,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,11,268,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2020-5-16","The <San Antonio Sloths:team#9> trade 21-year-old reliever <Boopity Booper:player#210> and 23-year-old reliever <Landon Hope:player#225> to the <New York Voyagers:team#1> for nothing.",637,9,210,0,'',225,0,'',0,0,'',0,0,'',0,0,'',0,1,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2020-8-18","The <San Antonio Sloths:team#9> trade 23-year-old closer <Felipe Fernandez:player#218> to the <New York Voyagers:team#1> for 22-year-old closer <Penny Kowers:player#174>.",705,9,218,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,1,174,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2021-7-21","The <Death Valley Scorpions:team#10> trade 22-year-old right fielder <Paulo Di Stephano:player#48> to the <Providence Crabs:team#3> for nothing.",892,10,48,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,3,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2021-11-1","The <Death Valley Scorpions:team#10> trade nothing to the <Providence Crabs:team#3> for 23-year-old right fielder <Paulo Di Stephano:player#48>.",1036,10,0,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,3,48,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
