full_name,position_name,team_name,war,player_id,Draft Season,Draft Position,TPE Value,TPE Description,S10-S14 Salary,url
Jack Westin,3B,NA,-4.81,190,S1,24,156,156,$0.00 ,http://pbesim.com/players/player_190.html
Michael Martin,C,NA,2.92,191,S1,55,243,243,$0.00 ,http://pbesim.com/players/player_191.html
Sebastian Musgrave-Smythe,P,NA,15.22,192,S1,52,883,883,"$16,000,000.00 ",http://pbesim.com/players/player_192.html
Joey McCarty,P,NA,0.65,194,S1,82,0,Retired,,http://pbesim.com/players/player_194.html
Christian Augustine,P,NA,-0.51,196,S1,65,111,111,"$500,000.00 ",http://pbesim.com/players/player_196.html
Chris Benji,SS,NA,-0.1,199,S1,84,0,Retired,,http://pbesim.com/players/player_199.html
Willie Mays Hayes,CF,NA,-0.96,202,S1,0,0,Retired,,http://pbesim.com/players/player_202.html
Guacamole Quesorito,P,NA,-0.4,166,S1,41,0,Retired,,http://pbesim.com/players/player_166.html
Boopity Booper,P,NA,-1.26,210,S1,0,0,Retired,,http://pbesim.com/players/player_210.html
Ernesto Castillo,P,NA,35.42,211,S1,18,0,Retired,,http://pbesim.com/players/player_211.html
Vincent Gramatica,3B,NA,-0.35,169,S1,104,0,Retired,,http://pbesim.com/players/player_169.html
Hannu Karpotsev,P,NA,4.06,213,S1,50,0,Retired,,http://pbesim.com/players/player_213.html
Mike Boss,1B,NA,20.78,171,S1,17,764,764,"$7,250,000.00 ",http://pbesim.com/players/player_171.html
Chris Orosz,P,NA,1.29,172,S1,44,0,Retired,,http://pbesim.com/players/player_172.html
Victor Ball,P,NA,-0.71,216,S1,80,0,Retired,,http://pbesim.com/players/player_216.html
Penny Kowers,P,NA,31.94,174,S1,48,1635,1635,"$10,000,000.00 ",http://pbesim.com/players/player_174.html
Carlos Delgado Jr.,SS,NA,-0.02,175,S1,61,0,Retired,,http://pbesim.com/players/player_175.html
Adrian Columbus,RF,NA,24.17,177,S1,25,0,Retired,,http://pbesim.com/players/player_177.html
Adam Wiggins,1B,NA,0.05,131,S2,105,0,Retired,,http://pbesim.com/players/player_131.html
Pepe Alazar,CF,NA,21.91,180,S1,49,775,775,"$7,250,000.00 ",http://pbesim.com/players/player_180.html
Brock Harris,LF,NA,1.98,181,S1,47,0,Retired,,http://pbesim.com/players/player_181.html
Kenny Gzus,1B,NA,-6.88,182,S1,85,262,262,"$2,000,000.00 ",http://pbesim.com/players/player_182.html
Harley Weewax,3B,NA,-0.06,184,S1,86,0,Retired,,http://pbesim.com/players/player_184.html
Colton Hunter,3B,NA,10.87,186,S1,56,0,Retired,,http://pbesim.com/players/player_186.html
Ricky Vaughn,P,NA,6.73,229,S1,23,0,Retired,,http://pbesim.com/players/player_229.html
Lance Travis,2B,NA,-4.03,189,S1,73,250,250,$0.00 ,http://pbesim.com/players/player_189.html
Don Kelly,P,NA,1.95,232,S1,14,0,Retired,,http://pbesim.com/players/player_232.html
Michael Walker,1B,NA,0.99,233,S1,67,0,Retired,,http://pbesim.com/players/player_233.html
Joseph Askins,2B,NA,1.07,193,S1,102,0,Retired,,http://pbesim.com/players/player_193.html
Jesper Manning,1B,NA,1.45,235,S1,6,0,Retired,,http://pbesim.com/players/player_235.html
Alexander Ovechkin,P,NA,5.36,195,S1,51,0,Retired,,http://pbesim.com/players/player_195.html
Shooty McLish,1B,NA,28.49,237,S1,72,1451,1451,"$36,000,000.00 ",http://pbesim.com/players/player_237.html
Eijun Wozy,P,NA,22.68,197,S1,8,830,830,"$8,000,000.00 ",http://pbesim.com/players/player_197.html
Darnell Turner,P,NA,10.74,198,S1,70,280,280,$0.00 ,http://pbesim.com/players/player_198.html
Alex Sincario,2B,NA,1.57,240,S1,13,181,181,$0.00 ,http://pbesim.com/players/player_240.html
Esteban Rodriguez,P,NA,45.93,200,S1,0,1588,1588,"$19,500,000.00 ",http://pbesim.com/players/player_200.html
Danny McGlover,C,NA,-0.22,201,S1,83,0,Retired,,http://pbesim.com/players/player_201.html
King Cuddles II,2B,NA,0.63,243,S1,43,0,Retired,,http://pbesim.com/players/player_243.html
Randy Koufax,P,NA,32.76,203,S1,0,1233,1233,"$9,000,000.00 ",http://pbesim.com/players/player_203.html
Sturgill Rove,P,NA,10.67,207,S1,0,0,Retired,,http://pbesim.com/players/player_207.html
Elston Sinclair,P,NA,37.82,208,S1,0,1388,1388,"$11,000,000.00 ",http://pbesim.com/players/player_208.html
Constantine Armstrong II,CF,NA,0.28,209,S1,0,0,Retired,,http://pbesim.com/players/player_209.html
Ty Justice,3B,NA,2.99,252,S1,4,187,187,$0.00 ,http://pbesim.com/players/player_252.html
Al Capone,3B,NA,1.56,253,S1,36,0,Retired,,http://pbesim.com/players/player_253.html
Kazuto Nagai,P,NA,1.33,212,S1,64,0,Retired,,http://pbesim.com/players/player_212.html
Connor MacDonald,2B,NA,40.09,255,S1,5,1733,1733,"$10,000,000.00 ",http://pbesim.com/players/player_255.html
