"player_id","service.time","label","position_name"
1,6,"MIPBE","CL"
2,2,"MIPBE","CL"
3,6,"MIPBE","CL"
4,2,"MIPBE","CL"
5,3,"MIPBE","CL"
6,3,"MIPBE","CL"
6,1,"PBE","CL"
7,1,"MIPBE","LF"
7,3,"PBE","LF"
8,1,"MIPBE","RF"
8,6,"PBE","RF"
9,2,"MIPBE","LF"
9,1,"PBE","LF"
10,6,"PBE","SP"
11,1,"MIPBE","CL"
11,6,"PBE","CL"
12,6,"PBE","SP"
13,6,"PBE","1B"
13,1,"MIPBE","1B"
14,6,"PBE","C"
15,6,"PBE","CF"
16,2,"MIPBE","SP"
16,4,"PBE","SP"
17,6,"PBE","SP"
18,6,"PBE","CL"
19,1,"PBE","2B"
19,3,"MIPBE","2B"
20,6,"PBE","C"
21,4,"PBE","RF"
22,6,"PBE","SP"
23,4,"MIPBE","CF"
23,1,"PBE","CF"
24,6,"PBE","1B"
25,5,"PBE","1B"
26,3,"MIPBE","CL"
26,4,"PBE","CL"
27,7,"PBE","SP"
28,6,"PBE","3B"
29,7,"PBE","3B"
30,6,"PBE","C"
31,1,"PBE","1B"
32,1,"MIPBE","SP"
33,3,"PBE","SP"
34,4,"PBE","SP"
34,3,"MIPBE","SP"
35,1,"PBE","SP"
35,4,"MIPBE","SP"
36,1,"MIPBE","SP"
36,2,"PBE","SP"
37,2,"MIPBE","C"
38,2,"MIPBE","CL"
39,2,"MIPBE","3B"
39,3,"PBE","3B"
40,2,"MIPBE","CL"
41,2,"MIPBE","SP"
42,5,"PBE","CL"
43,7,"PBE","CL"
44,1,"PBE","C"
44,4,"MIPBE","C"
45,8,"PBE","SP"
46,8,"PBE","CL"
47,5,"MIPBE","C"
47,1,"PBE","C"
48,8,"PBE","RF"
49,2,"PBE","2B"
50,1,"MIPBE","CL"
50,6,"PBE","CL"
51,3,"PBE","LF"
51,2,"MIPBE","LF"
52,3,"PBE","CL"
52,3,"MIPBE","CL"
53,1,"MIPBE","CL"
53,2,"PBE","CL"
54,2,"PBE","1B"
55,2,"MIPBE","C"
55,5,"PBE","C"
56,8,"PBE","CL"
57,8,"PBE","CL"
58,4,"PBE","1B"
59,6,"PBE","CF"
60,9,"PBE","C"
61,1,"PBE","C"
62,9,"PBE","SP"
64,8,"PBE","C"
65,1,"MIPBE","C"
65,4,"PBE","C"
66,8,"PBE","LF"
67,2,"MIPBE","CL"
67,2,"PBE","CL"
68,5,"PBE","C"
69,5,"PBE","SP"
70,2,"MIPBE","CL"
70,3,"PBE","CL"
71,4,"MIPBE","CL"
72,2,"MIPBE","CL"
72,2,"PBE","CL"
73,1,"MIPBE","1B"
73,3,"PBE","1B"
75,3,"MIPBE","SS"
75,1,"PBE","SS"
76,9,"PBE","SP"
77,9,"PBE","SP"
78,8,"PBE","3B"
79,1,"MIPBE","CL"
79,5,"PBE","CL"
80,9,"PBE","CL"
81,9,"PBE","SS"
82,2,"PBE","3B"
83,4,"PBE","CF"
84,1,"PBE","1B"
85,5,"PBE","CL"
86,3,"PBE","CL"
86,2,"MIPBE","CL"
87,9,"PBE","RF"
88,5,"PBE","SP"
89,2,"PBE","CF"
90,9,"PBE","CL"
91,2,"PBE","C"
91,2,"MIPBE","C"
92,5,"PBE","LF"
92,1,"MIPBE","LF"
93,1,"PBE","SS"
94,9,"PBE","SS"
95,3,"PBE","CL"
95,2,"MIPBE","CL"
96,2,"PBE","CL"
96,1,"MIPBE","CL"
97,3,"PBE","SP"
98,1,"MIPBE","CL"
98,4,"PBE","CL"
99,1,"PBE","LF"
100,1,"PBE","SP"
101,7,"PBE","SP"
102,2,"PBE","SP"
103,6,"PBE","2B"
104,2,"MIPBE","SP"
105,1,"MIPBE","LF"
105,4,"PBE","LF"
106,1,"PBE","1B"
107,6,"PBE","CL"
108,1,"PBE","CF"
109,4,"MIPBE","CL"
110,1,"PBE","3B"
111,9,"PBE","3B"
112,2,"MIPBE","CL"
112,3,"PBE","CL"
113,1,"PBE","1B"
114,1,"PBE","LF"
115,1,"PBE","CL"
115,4,"MIPBE","CL"
116,1,"MIPBE","CL"
116,3,"PBE","CL"
117,1,"PBE","SP"
118,4,"PBE","2B"
119,10,"PBE","1B"
120,1,"MIPBE","RF"
120,3,"PBE","RF"
121,9,"PBE","2B"
122,7,"PBE","SS"
123,5,"PBE","SP"
124,7,"PBE","LF"
125,1,"PBE","3B"
125,3,"MIPBE","3B"
126,9,"PBE","SP"
127,5,"PBE","SP"
128,1,"MIPBE","1B"
129,1,"PBE","LF"
130,9,"PBE","CL"
131,1,"PBE","1B"
132,6,"PBE","SP"
134,2,"MIPBE","SP"
135,2,"MIPBE","3B"
136,3,"MIPBE","CL"
137,5,"PBE","LF"
138,3,"PBE","CL"
138,2,"MIPBE","CL"
139,3,"MIPBE","1B"
140,6,"PBE","DH"
140,1,"MIPBE","DH"
