"player_id","service.time","label","position_name"
1,6,"Total","CL"
1,6,"MIPBE","CL"
2,2,"Total","CL"
2,2,"MIPBE","CL"
3,6,"MIPBE","CL"
3,6,"Total","CL"
4,2,"MIPBE","CL"
4,2,"Total","CL"
5,3,"Total","CL"
5,3,"MIPBE","CL"
6,4,"Total","CL"
6,3,"MIPBE","CL"
6,1,"PBE","CL"
7,1,"MIPBE","LF"
7,3,"PBE","LF"
7,4,"Total","LF"
8,1,"MIPBE","RF"
8,7,"Total","RF"
8,6,"PBE","RF"
9,2,"MIPBE","LF"
9,1,"PBE","LF"
9,3,"Total","LF"
10,6,"PBE","SP"
10,6,"Total","SP"
11,1,"MIPBE","CL"
11,7,"Total","CL"
11,6,"PBE","CL"
12,6,"Total","SP"
12,6,"PBE","SP"
13,7,"Total","1B"
13,6,"PBE","1B"
13,1,"MIPBE","1B"
14,6,"PBE","C"
14,6,"Total","C"
15,6,"Total","CF"
15,6,"PBE","CF"
16,2,"MIPBE","SP"
16,4,"PBE","SP"
16,6,"Total","SP"
17,6,"Total","SP"
17,6,"PBE","SP"
18,6,"Total","CL"
18,6,"PBE","CL"
19,4,"Total","2B"
19,1,"PBE","2B"
19,3,"MIPBE","2B"
20,6,"Total","C"
20,6,"PBE","C"
21,4,"PBE","RF"
21,4,"Total","RF"
22,6,"PBE","SP"
22,6,"Total","SP"
23,4,"MIPBE","CF"
23,5,"Total","CF"
23,1,"PBE","CF"
24,6,"PBE","1B"
24,6,"Total","1B"
25,5,"PBE","1B"
25,5,"Total","1B"
26,7,"Total","CL"
26,3,"MIPBE","CL"
26,4,"PBE","CL"
27,7,"Total","SP"
27,7,"PBE","SP"
28,6,"PBE","3B"
28,6,"Total","3B"
29,7,"PBE","3B"
29,7,"Total","3B"
30,6,"Total","C"
30,6,"PBE","C"
31,1,"Total","1B"
31,1,"PBE","1B"
32,1,"Total","SP"
32,1,"MIPBE","SP"
33,3,"PBE","SP"
33,3,"Total","SP"
34,7,"Total","SP"
34,4,"PBE","SP"
34,3,"MIPBE","SP"
35,1,"PBE","SP"
35,4,"MIPBE","SP"
35,5,"Total","SP"
36,1,"MIPBE","SP"
36,3,"Total","SP"
36,2,"PBE","SP"
37,2,"Total","C"
37,2,"MIPBE","C"
38,2,"MIPBE","CL"
38,2,"Total","CL"
39,2,"MIPBE","3B"
39,5,"Total","3B"
39,3,"PBE","3B"
40,2,"MIPBE","CL"
40,2,"Total","CL"
41,2,"Total","SP"
41,2,"MIPBE","SP"
42,5,"Total","CL"
42,5,"PBE","CL"
43,7,"PBE","CL"
43,7,"Total","CL"
44,1,"PBE","C"
44,5,"Total","C"
44,4,"MIPBE","C"
45,8,"Total","SP"
45,8,"PBE","SP"
46,8,"Total","CL"
46,8,"PBE","CL"
47,5,"MIPBE","C"
47,6,"Total","C"
47,1,"PBE","C"
48,8,"PBE","RF"
48,8,"Total","RF"
49,2,"PBE","2B"
49,2,"Total","2B"
50,7,"Total","CL"
50,1,"MIPBE","CL"
50,6,"PBE","CL"
51,3,"PBE","LF"
51,5,"Total","LF"
51,2,"MIPBE","LF"
52,3,"PBE","CL"
52,6,"Total","CL"
52,3,"MIPBE","CL"
53,1,"MIPBE","CL"
53,3,"Total","CL"
53,2,"PBE","CL"
54,2,"PBE","1B"
54,2,"Total","1B"
