"player_id","service.time","label","position_name"
1,6,"Total","CL"
3,6,"Total","CL"
5,3,"Total","CL"
7,4,"Total","LF"
8,7,"Total","RF"
9,3,"Total","LF"
10,6,"Total","SP"
11,7,"Total","CL"
12,6,"Total","SP"
13,7,"Total","1B"
14,6,"Total","C"
15,6,"Total","CF"
16,6,"Total","SP"
17,6,"Total","SP"
18,6,"Total","CL"
19,4,"Total","2B"
20,6,"Total","C"
21,4,"Total","RF"
22,6,"Total","SP"
24,6,"Total","1B"
25,5,"Total","1B"
26,7,"Total","CL"
27,7,"Total","SP"
28,6,"Total","3B"
29,7,"Total","3B"
34,7,"Total","SP"
37,2,"Total","C"
39,5,"Total","3B"
43,7,"Total","CL"
44,5,"Total","C"
45,8,"Total","SP"
46,8,"Total","CL"
47,6,"Total","C"
48,8,"Total","RF"
50,7,"Total","CL"
52,6,"Total","CL"
55,7,"Total","C"
56,8,"Total","CL"
57,8,"Total","CL"
60,9,"Total","C"
62,9,"Total","SP"
64,8,"Total","C"
65,5,"Total","C"
66,8,"Total","LF"
67,4,"Total","CL"
69,5,"Total","SP"
70,5,"Total","CL"
76,9,"Total","SP"
77,9,"Total","SP"
79,6,"Total","CL"
80,9,"Total","CL"
81,9,"Total","SS"
87,9,"Total","RF"
90,9,"Total","CL"
92,6,"Total","LF"
94,9,"Total","SS"
107,6,"Total","CL"
109,4,"Total","CL"
111,9,"Total","3B"
115,5,"Total","CL"
119,10,"Total","1B"
121,9,"Total","2B"
122,7,"Total","SS"
123,5,"Total","SP"
124,7,"Total","LF"
125,4,"Total","3B"
126,9,"Total","SP"
127,5,"Total","SP"
128,1,"Total","1B"
137,5,"Total","LF"
138,5,"Total","CL"
139,3,"Total","1B"
140,7,"Total","DH"
144,5,"Total","CL"
145,5,"Total","SP"
146,5,"Total","2B"
147,7,"Total","RF"
149,5,"Total","1B"
151,5,"Total","3B"
155,4,"Total","CL"
156,9,"Total","CL"
158,5,"Total","C"
159,7,"Total","CF"
162,5,"Total","CL"
165,10,"Total","CL"
168,9,"Total","CL"
171,10,"Total","1B"
173,10,"Total","2B"
174,10,"Total","SP"
178,10,"Total","CF"
180,10,"Total","CF"
182,7,"Total","1B"
185,10,"Total","2B"
187,7,"Total","C"
189,7,"Total","2B"
190,8,"Total","3B"
191,8,"Total","C"
192,10,"Total","CL"
197,10,"Total","SP"
198,10,"Total","CL"
200,10,"Total","SP"
203,10,"Total","SP"
204,10,"Total","C"
206,10,"Total","SS"
208,10,"Total","SP"
218,10,"Total","CL"
223,10,"Total","SP"
225,8,"Total","SP"
227,10,"Total","SP"
228,9,"Total","SP"
236,10,"Total","1B"
237,10,"Total","1B"
239,10,"Total","2B"
244,10,"Total","SS"
245,10,"Total","SS"
246,10,"Total","C"
247,8,"Total","2B"
255,10,"Total","2B"
258,10,"Total","RF"
264,10,"Total","C"
266,10,"Total","CF"
268,10,"Total","CF"
270,10,"Total","LF"
271,10,"Total","LF"
273,10,"Total","C"
274,6,"Total","C"
275,10,"Total","C"
280,6,"Total","1B"
290,6,"Total","C"
298,6,"Total","CL"
306,6,"Total","2B"
310,6,"Total","LF"
311,6,"Total","CL"
312,6,"Total","LF"
313,5,"Total","C"
314,5,"Total","1B"
315,5,"Total","SP"
316,5,"Total","1B"
317,5,"Total","3B"
318,2,"Total","2B"
319,5,"Total","SP"
320,6,"Total","CL"
321,5,"Total","1B"
323,6,"Total","LF"
324,5,"Total","RF"
325,2,"Total","CL"
326,5,"Total","CL"
327,4,"Total","SP"
328,6,"Total","CL"
329,5,"Total","SP"
330,5,"Total","2B"
331,4,"Total","SP"
332,4,"Total","SP"
333,5,"Total","CL"
334,4,"Total","SP"
335,4,"Total","SP"
336,4,"Total","CL"
337,4,"Total","CL"
338,4,"Total","C"
339,4,"Total","2B"
341,4,"Total","2B"
342,4,"Total","2B"
343,2,"Total","1B"
344,4,"Total","2B"
345,4,"Total","2B"
346,4,"Total","LF"
347,1,"Total","CF"
348,4,"Total","LF"
349,4,"Total","RF"
350,4,"Total","LF"
351,4,"Total","1B"
353,4,"Total","RF"
354,4,"Total","2B"
355,4,"Total","SS"
356,4,"Total","C"
358,4,"Total","SP"
359,4,"Total","CL"
360,5,"Total","SP"
361,4,"Total","SP"
362,4,"Total","1B"
363,4,"Total","CL"
364,4,"Total","2B"
365,3,"Total","LF"
366,3,"Total","CF"
368,3,"Total","SP"
369,3,"Total","SP"
370,3,"Total","SP"
371,3,"Total","CL"
372,3,"Total","C"
373,3,"Total","LF"
375,3,"Total","3B"
376,4,"Total","3B"
377,3,"Total","2B"
378,1,"Total","LF"
379,3,"Total","LF"
380,3,"Total","C"
381,1,"Total","2B"
383,1,"Total","3B"
384,3,"Total","LF"
385,2,"Total","C"
386,3,"Total","CL"
387,3,"Total","CL"
388,3,"Total","CL"
389,3,"Total","CL"
390,4,"Total","2B"
391,3,"Total","2B"
392,3,"Total","RF"
393,2,"Total","CL"
394,2,"Total","SP"
395,2,"Total","CL"
396,2,"Total","SP"
397,2,"Total","CL"
398,2,"Total","SP"
399,2,"Total","SP"
400,2,"Total","SP"
401,3,"Total","SP"
