"league_id","player_id","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","winloss","name_pos","url","pitch_hit"
100,55,619,133,153,678,2582,191,21,1,5,50,50,2,46,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8374,-1.25,0.215,0.272,106,47,171,0.276,0.548,0.061,0.276,0.23,0.07,0.16,0,0,0,0,0,0,0,0,0,0,0,0,"Eric Bilitnikov","C","PBE","0 - 0","Eric Bilitnikov - C","http://www.pbesim.com/players/player_55.html","Hitter"
100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,2268,0,575,410,219,295,286,40,28,0,13,79,47,4,1,0,-2.4729,4.06,0,0,0,0,0,0,0,0,0,0,0,0,4.37,1.348,0.277,4.57,1.21,4.51,8.79,6.26,3.35,0.18,0.1,0.08,"Anderson Pooper","P","PBE","40 - 28","Anderson Pooper - P","http://www.pbesim.com/players/player_16.html","Pitcher"
100,47,3,1,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0.02,0.333,0.333,1,0,1,0.333,0.666,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Logan Cox","C","PBE","0 - 0","Logan Cox - C","http://www.pbesim.com/players/player_47.html","Hitter"
100,122,2733,723,568,3019,11639,700,113,13,74,336,280,3,256,9,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7132,13.48,0.265,0.33,523,359,1084,0.397,0.727,0.132,0.308,0.19,0.08,0.11,0,0,0,0,0,0,0,0,0,0,0,0,"Clem Johnson","SS","PBE","0 - 0","Clem Johnson - SS","http://www.pbesim.com/players/player_122.html","Hitter"
100,29,2591,708,454,2819,10050,648,171,9,65,340,319,0,173,9,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0401,11.29,0.273,0.328,463,360,1092,0.421,0.749,0.148,0.308,0.16,0.06,0.1,0,0,0,0,0,0,0,0,0,0,0,0,"Weldon Borthwell","3B","PBE","0 - 0","Weldon Borthwell - 3B","http://www.pbesim.com/players/player_29.html","Hitter"
100,25,226,50,52,247,841,70,16,1,6,39,33,0,19,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1091,-0.25,0.221,0.283,27,24,86,0.381,0.664,0.16,0.26,0.21,0.08,0.13,0,0,0,0,0,0,0,0,0,0,0,0,"Richard Physt","LF","PBE","0 - 0","Richard Physt - LF","http://www.pbesim.com/players/player_25.html","Hitter"
100,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,3671,0,880,950,304,431,402,67,30,13,20,119,71,0,0,7,-2.3508,13.62,0,0,0,0,0,0,0,0,0,0,0,0,3.73,1.221,0.29,3.68,1.1,4,8.16,8.81,2.82,0.26,0.08,0.18,"Matthew Auston","P","PBE","67 - 30","Matthew Auston - P","http://www.pbesim.com/players/player_45.html","Pitcher"
100,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,972,0,284,165,109,160,146,5,20,0,8,30,13,1,1,0,-0.9974,0.69,0,0,0,0,0,0,0,0,0,0,0,0,5.452,1.631,0.324,4.71,1.12,5.98,10.61,6.16,4.07,0.17,0.11,0.06,"J.W.  Doyle","P","PBE","5 - 20","J.W.  Doyle - P","http://www.pbesim.com/players/player_36.html","Pitcher"
100,20,2079,527,394,2321,8522,550,114,14,37,264,239,20,197,10,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9144,9.5,0.253,0.325,362,256,780,0.375,0.7,0.122,0.294,0.17,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,"Billy Benson","C","PBE","0 - 0","Billy Benson - C","http://www.pbesim.com/players/player_20.html","Hitter"
100,14,2265,542,615,2441,8968,583,125,8,80,258,304,2,152,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4088,6.53,0.239,0.288,329,267,923,0.408,0.696,0.169,0.291,0.25,0.06,0.19,0,0,0,0,0,0,0,0,0,0,0,0,"Nate Piazza","C","PBE","0 - 0","Nate Piazza - C","http://www.pbesim.com/players/player_14.html","Hitter"
