"home_team","game_id","league_id","date","time","innings","runs_home","hits_home","home_abbr","home_division_id","home_team_name","home","home_win","home_loss","away_team","runs_away","hits_away","away_abbr","away_division_id","away_team_name","away","away_win","away_loss"
2,646,100,"2026-9-23",1905,9,2,8,"OBX",0,"Outer Banks Aviators","home",0,1,1,4,8,"NYV",0,"New York Voyagers","away",1,0
3,677,100,"2026-10-6",1905,9,5,10,"PRO",0,"Providence Crabs","home",1,0,1,4,9,"NYV",0,"New York Voyagers","away",0,1
2,644,100,"2026-9-22",1905,9,7,9,"OBX",0,"Outer Banks Aviators","home",1,0,1,2,10,"NYV",0,"New York Voyagers","away",0,1
24,653,100,"2026-9-26",1905,9,5,7,"FL",0,"Florida Space Rangers","home",1,0,1,2,9,"NYV",0,"New York Voyagers","away",0,1
24,112,100,"2026-6-25",1905,9,3,6,"FL",0,"Florida Space Rangers","home",1,0,1,2,8,"NYV",0,"New York Voyagers","away",0,1
24,116,100,"2026-6-26",1905,9,1,6,"FL",0,"Florida Space Rangers","home",0,1,1,2,7,"NYV",0,"New York Voyagers","away",1,0
3,228,100,"2026-8-19",1905,9,4,9,"PRO",0,"Providence Crabs","home",0,1,1,5,14,"NYV",0,"New York Voyagers","away",1,0
10,633,100,"2026-9-17",1905,10,3,4,"DV",1,"Death Valley Scorpions","home",1,0,1,2,8,"NYV",0,"New York Voyagers","away",0,1
25,263,100,"2026-9-1",1905,9,4,9,"UTA",1,"Utah Railroaders","home",1,0,1,1,7,"NYV",0,"New York Voyagers","away",0,1
10,629,100,"2026-9-16",1905,9,15,17,"DV",1,"Death Valley Scorpions","home",1,0,1,1,4,"NYV",0,"New York Voyagers","away",0,1
25,259,100,"2026-8-31",1905,9,1,9,"UTA",1,"Utah Railroaders","home",0,1,1,3,7,"NYV",0,"New York Voyagers","away",1,0
2,174,100,"2026-7-17",1905,9,7,10,"OBX",0,"Outer Banks Aviators","home",1,0,1,0,7,"NYV",0,"New York Voyagers","away",0,1
25,267,100,"2026-9-2",1905,9,7,11,"UTA",1,"Utah Railroaders","home",0,1,1,11,12,"NYV",0,"New York Voyagers","away",1,0
3,220,100,"2026-8-17",1905,9,9,16,"PRO",0,"Providence Crabs","home",1,0,1,5,8,"NYV",0,"New York Voyagers","away",0,1
10,299,100,"2026-9-15",1905,9,6,6,"DV",1,"Death Valley Scorpions","home",1,0,1,5,8,"NYV",0,"New York Voyagers","away",0,1
9,665,100,"2026-10-1",1905,9,11,13,"SAS",1,"San Antonio Sloths","home",1,0,1,1,4,"NYV",0,"New York Voyagers","away",0,1
2,636,100,"2026-9-20",1905,9,7,13,"OBX",0,"Outer Banks Aviators","home",1,0,1,2,6,"NYV",0,"New York Voyagers","away",0,1
11,132,100,"2026-7-1",1905,9,6,10,"VAN",1,"Vancouver Vandals","home",1,0,1,5,10,"NYV",0,"New York Voyagers","away",0,1
2,640,100,"2026-9-21",1905,9,9,11,"OBX",0,"Outer Banks Aviators","home",0,1,1,13,13,"NYV",0,"New York Voyagers","away",1,0
2,172,100,"2026-7-16",1905,9,4,9,"OBX",0,"Outer Banks Aviators","home",1,0,1,3,7,"NYV",0,"New York Voyagers","away",0,1
10,95,100,"2026-6-19",1905,9,11,14,"DV",1,"Death Valley Scorpions","home",1,0,1,3,6,"NYV",0,"New York Voyagers","away",0,1
24,120,100,"2026-6-27",1905,9,6,8,"FL",0,"Florida Space Rangers","home",1,0,1,1,5,"NYV",0,"New York Voyagers","away",0,1
3,224,100,"2026-8-18",1905,9,6,10,"PRO",0,"Providence Crabs","home",0,1,1,8,11,"NYV",0,"New York Voyagers","away",1,0
11,216,100,"2026-8-14",1905,9,0,6,"VAN",1,"Vancouver Vandals","home",0,1,1,11,13,"NYV",0,"New York Voyagers","away",1,0
24,108,100,"2026-6-24",1905,9,6,13,"FL",0,"Florida Space Rangers","home",1,0,1,1,6,"NYV",0,"New York Voyagers","away",0,1
25,68,100,"2026-6-9",1905,9,1,4,"UTA",1,"Utah Railroaders","home",0,1,1,3,4,"NYV",0,"New York Voyagers","away",1,0
2,63,100,"2026-6-6",1905,9,1,6,"OBX",0,"Outer Banks Aviators","home",0,1,1,6,8,"NYV",0,"New York Voyagers","away",1,0
9,661,100,"2026-9-30",1905,9,6,10,"SAS",1,"San Antonio Sloths","home",1,0,1,4,8,"NYV",0,"New York Voyagers","away",0,1
2,59,100,"2026-6-5",1905,9,5,12,"OBX",0,"Outer Banks Aviators","home",1,0,1,3,6,"NYV",0,"New York Voyagers","away",0,1
9,156,100,"2026-7-11",1905,9,5,6,"SAS",1,"San Antonio Sloths","home",0,1,1,10,14,"NYV",0,"New York Voyagers","away",1,0
25,72,100,"2026-6-10",1905,9,5,7,"UTA",1,"Utah Railroaders","home",1,0,1,4,6,"NYV",0,"New York Voyagers","away",0,1
11,134,100,"2026-7-2",1905,9,1,3,"VAN",1,"Vancouver Vandals","home",0,1,1,7,10,"NYV",0,"New York Voyagers","away",1,0
3,91,100,"2026-6-16",1905,9,1,7,"PRO",0,"Providence Crabs","home",0,1,1,5,10,"NYV",0,"New York Voyagers","away",1,0
3,673,100,"2026-10-5",1905,9,0,8,"PRO",0,"Providence Crabs","home",0,1,1,2,7,"NYV",0,"New York Voyagers","away",1,0
9,160,100,"2026-7-12",1905,9,14,20,"SAS",1,"San Antonio Sloths","home",1,0,1,1,7,"NYV",0,"New York Voyagers","away",0,1
3,83,100,"2026-6-14",1905,9,3,11,"PRO",0,"Providence Crabs","home",0,1,1,13,16,"NYV",0,"New York Voyagers","away",1,0
11,213,100,"2026-8-13",1905,9,0,8,"VAN",1,"Vancouver Vandals","home",0,1,1,8,16,"NYV",0,"New York Voyagers","away",1,0
2,55,100,"2026-6-4",1905,9,9,14,"OBX",0,"Outer Banks Aviators","home",1,0,1,2,6,"NYV",0,"New York Voyagers","away",0,1
3,217,100,"2026-8-16",1905,9,2,10,"PRO",0,"Providence Crabs","home",0,1,1,3,6,"NYV",0,"New York Voyagers","away",1,0
3,87,100,"2026-6-15",1905,9,7,10,"PRO",0,"Providence Crabs","home",1,0,1,5,5,"NYV",0,"New York Voyagers","away",0,1
24,9,100,"2026-5-17",1905,9,3,9,"FL",0,"Florida Space Rangers","home",0,1,1,4,9,"NYV",0,"New York Voyagers","away",1,0
3,681,100,"2026-10-7",1905,9,2,8,"PRO",0,"Providence Crabs","home",0,1,1,13,17,"NYV",0,"New York Voyagers","away",1,0
24,657,100,"2026-9-27",1905,9,5,6,"FL",0,"Florida Space Rangers","home",1,0,1,2,4,"NYV",0,"New York Voyagers","away",0,1
2,168,100,"2026-7-15",1905,9,8,11,"OBX",0,"Outer Banks Aviators","home",1,0,1,2,6,"NYV",0,"New York Voyagers","away",0,1
24,1,100,"2026-5-15",1905,9,6,12,"FL",0,"Florida Space Rangers","home",0,1,1,8,10,"NYV",0,"New York Voyagers","away",1,0
10,99,100,"2026-6-20",1905,9,1,2,"DV",1,"Death Valley Scorpions","home",0,1,1,2,5,"NYV",0,"New York Voyagers","away",1,0
24,649,100,"2026-9-25",1905,9,6,8,"FL",0,"Florida Space Rangers","home",1,0,1,1,4,"NYV",0,"New York Voyagers","away",0,1
11,128,100,"2026-6-30",1905,9,9,15,"VAN",1,"Vancouver Vandals","home",1,0,1,5,11,"NYV",0,"New York Voyagers","away",0,1
9,669,100,"2026-10-2",1905,11,5,12,"SAS",1,"San Antonio Sloths","home",1,0,1,4,13,"NYV",0,"New York Voyagers","away",0,1
24,5,100,"2026-5-16",1905,9,3,7,"FL",0,"Florida Space Rangers","home",1,0,1,2,4,"NYV",0,"New York Voyagers","away",0,1
1,269,100,"2026-9-5",1905,9,0,3,"NYV",0,"New York Voyagers","home",0,1,2,4,7,"OBX",0,"Outer Banks Aviators","away",1,0
9,204,100,"2026-8-11",1905,9,4,10,"SAS",1,"San Antonio Sloths","home",1,0,2,3,7,"OBX",0,"Outer Banks Aviators","away",0,1
11,96,100,"2026-6-19",1905,9,1,4,"VAN",1,"Vancouver Vandals","home",0,1,2,7,17,"OBX",0,"Outer Banks Aviators","away",1,0
3,295,100,"2026-9-13",1905,9,6,9,"PRO",0,"Providence Crabs","home",0,1,2,8,9,"OBX",0,"Outer Banks Aviators","away",1,0
9,212,100,"2026-8-13",1905,9,8,12,"SAS",1,"San Antonio Sloths","home",1,0,2,5,11,"OBX",0,"Outer Banks Aviators","away",0,1
10,240,100,"2026-8-23",1905,10,4,8,"DV",1,"Death Valley Scorpions","home",0,1,2,11,11,"OBX",0,"Outer Banks Aviators","away",1,0
1,143,100,"2026-7-6",1905,9,3,14,"NYV",0,"New York Voyagers","home",0,1,2,4,7,"OBX",0,"Outer Banks Aviators","away",1,0
11,176,100,"2026-7-19",1905,9,1,9,"VAN",1,"Vancouver Vandals","home",0,1,2,2,8,"OBX",0,"Outer Banks Aviators","away",1,0
1,281,100,"2026-9-8",1905,9,5,7,"NYV",0,"New York Voyagers","home",1,0,2,1,8,"OBX",0,"Outer Banks Aviators","away",0,1
24,691,100,"2026-10-11",1905,9,2,6,"FL",0,"Florida Space Rangers","home",0,1,2,4,12,"OBX",0,"Outer Banks Aviators","away",1,0
1,135,100,"2026-7-4",1905,10,3,6,"NYV",0,"New York Voyagers","home",0,1,2,4,8,"OBX",0,"Outer Banks Aviators","away",1,0
10,232,100,"2026-8-21",1905,9,5,8,"DV",1,"Death Valley Scorpions","home",1,0,2,4,5,"OBX",0,"Outer Banks Aviators","away",0,1
3,33,100,"2026-5-26",1905,9,4,13,"PRO",0,"Providence Crabs","home",0,1,2,11,14,"OBX",0,"Outer Banks Aviators","away",1,0
1,273,100,"2026-9-6",1905,9,4,9,"NYV",0,"New York Voyagers","home",0,1,2,11,10,"OBX",0,"Outer Banks Aviators","away",1,0
24,92,100,"2026-6-16",1905,10,2,8,"FL",0,"Florida Space Rangers","home",1,0,2,0,4,"OBX",0,"Outer Banks Aviators","away",0,1
3,287,100,"2026-9-11",1905,9,2,6,"PRO",0,"Providence Crabs","home",0,1,2,5,11,"OBX",0,"Outer Banks Aviators","away",1,0
1,708,100,"2026-10-17",1905,9,5,10,"NYV",0,"New York Voyagers","home",0,1,2,9,15,"OBX",0,"Outer Banks Aviators","away",1,0
1,139,100,"2026-7-5",1905,9,3,8,"NYV",0,"New York Voyagers","home",0,1,2,10,9,"OBX",0,"Outer Banks Aviators","away",1,0
9,46,100,"2026-5-31",1905,9,11,11,"SAS",1,"San Antonio Sloths","home",1,0,2,4,8,"OBX",0,"Outer Banks Aviators","away",0,1
3,37,100,"2026-5-27",1905,9,12,18,"PRO",0,"Providence Crabs","home",1,0,2,4,6,"OBX",0,"Outer Banks Aviators","away",0,1
24,200,100,"2026-7-27",1905,9,2,6,"FL",0,"Florida Space Rangers","home",0,1,2,6,9,"OBX",0,"Outer Banks Aviators","away",1,0
3,283,100,"2026-9-10",1905,9,4,5,"PRO",0,"Providence Crabs","home",0,1,2,7,10,"OBX",0,"Outer Banks Aviators","away",1,0
9,42,100,"2026-5-30",1905,9,7,11,"SAS",1,"San Antonio Sloths","home",1,0,2,3,6,"OBX",0,"Outer Banks Aviators","away",0,1
1,699,100,"2026-10-15",1905,9,5,9,"NYV",0,"New York Voyagers","home",1,0,2,2,7,"OBX",0,"Outer Banks Aviators","away",0,1
25,632,100,"2026-9-17",1905,9,1,4,"UTA",1,"Utah Railroaders","home",0,1,2,7,11,"OBX",0,"Outer Banks Aviators","away",1,0
25,157,100,"2026-7-11",1905,9,2,6,"UTA",1,"Utah Railroaders","home",0,1,2,17,17,"OBX",0,"Outer Banks Aviators","away",1,0
1,703,100,"2026-10-16",1905,9,1,6,"NYV",0,"New York Voyagers","home",0,1,2,9,14,"OBX",0,"Outer Banks Aviators","away",1,0
10,81,100,"2026-6-12",1905,9,8,13,"DV",1,"Death Valley Scorpions","home",1,0,2,7,12,"OBX",0,"Outer Banks Aviators","away",0,1
24,687,100,"2026-10-10",1905,9,3,6,"FL",0,"Florida Space Rangers","home",0,1,2,5,10,"OBX",0,"Outer Banks Aviators","away",1,0
11,104,100,"2026-6-21",1905,9,0,5,"VAN",1,"Vancouver Vandals","home",0,1,2,2,7,"OBX",0,"Outer Banks Aviators","away",1,0
24,695,100,"2026-10-12",1905,9,5,9,"FL",0,"Florida Space Rangers","home",1,0,2,1,6,"OBX",0,"Outer Banks Aviators","away",0,1
3,291,100,"2026-9-12",1905,9,5,6,"PRO",0,"Providence Crabs","home",1,0,2,4,6,"OBX",0,"Outer Banks Aviators","away",0,1
1,277,100,"2026-9-7",1905,9,2,6,"NYV",0,"New York Voyagers","home",0,1,2,7,9,"OBX",0,"Outer Banks Aviators","away",1,0
11,180,100,"2026-7-20",1905,9,2,9,"VAN",1,"Vancouver Vandals","home",0,1,2,4,8,"OBX",0,"Outer Banks Aviators","away",1,0
24,196,100,"2026-7-26",1905,12,4,10,"FL",0,"Florida Space Rangers","home",1,0,2,3,7,"OBX",0,"Outer Banks Aviators","away",0,1
24,88,100,"2026-6-15",1905,9,1,5,"FL",0,"Florida Space Rangers","home",0,1,2,2,3,"OBX",0,"Outer Banks Aviators","away",1,0
25,161,100,"2026-7-12",1905,9,1,5,"UTA",1,"Utah Railroaders","home",0,1,2,4,10,"OBX",0,"Outer Banks Aviators","away",1,0
24,192,100,"2026-7-25",1905,9,3,5,"FL",0,"Florida Space Rangers","home",1,0,2,2,5,"OBX",0,"Outer Banks Aviators","away",0,1
24,189,100,"2026-7-24",1905,9,7,7,"FL",0,"Florida Space Rangers","home",1,0,2,3,7,"OBX",0,"Outer Banks Aviators","away",0,1
25,298,100,"2026-9-15",1905,9,3,6,"UTA",1,"Utah Railroaders","home",0,1,2,4,8,"OBX",0,"Outer Banks Aviators","away",1,0
3,113,100,"2026-6-25",1905,9,7,11,"PRO",0,"Providence Crabs","home",1,0,2,3,8,"OBX",0,"Outer Banks Aviators","away",0,1
10,79,100,"2026-6-11",1905,9,6,9,"DV",1,"Death Valley Scorpions","home",1,0,2,3,4,"OBX",0,"Outer Banks Aviators","away",0,1
10,236,100,"2026-8-22",1905,9,17,13,"DV",1,"Death Valley Scorpions","home",1,0,2,0,8,"OBX",0,"Outer Banks Aviators","away",0,1
9,208,100,"2026-8-12",1905,9,7,10,"SAS",1,"San Antonio Sloths","home",1,0,2,1,6,"OBX",0,"Outer Banks Aviators","away",0,1
3,109,100,"2026-6-24",1905,9,0,5,"PRO",0,"Providence Crabs","home",0,1,2,11,17,"OBX",0,"Outer Banks Aviators","away",1,0
3,30,100,"2026-5-25",1905,9,4,7,"PRO",0,"Providence Crabs","home",1,0,2,1,5,"OBX",0,"Outer Banks Aviators","away",0,1
3,117,100,"2026-6-26",1905,9,2,8,"PRO",0,"Providence Crabs","home",0,1,2,4,6,"OBX",0,"Outer Banks Aviators","away",1,0
24,84,100,"2026-6-14",1905,9,3,5,"FL",0,"Florida Space Rangers","home",1,0,2,2,7,"OBX",0,"Outer Banks Aviators","away",0,1
25,628,100,"2026-9-16",1905,9,4,8,"UTA",1,"Utah Railroaders","home",1,0,2,2,10,"OBX",0,"Outer Banks Aviators","away",0,1
11,100,100,"2026-6-20",1905,9,1,8,"VAN",1,"Vancouver Vandals","home",0,1,2,4,11,"OBX",0,"Outer Banks Aviators","away",1,0
10,183,100,"2026-7-21",1905,9,2,7,"DV",1,"Death Valley Scorpions","home",0,1,3,4,4,"PRO",0,"Providence Crabs","away",1,0
24,704,100,"2026-10-16",1905,9,0,4,"FL",0,"Florida Space Rangers","home",0,1,3,7,11,"PRO",0,"Providence Crabs","away",1,0
24,60,100,"2026-6-5",1905,9,1,3,"FL",0,"Florida Space Rangers","home",0,1,3,2,4,"PRO",0,"Providence Crabs","away",1,0
10,48,100,"2026-5-31",1905,9,5,8,"DV",1,"Death Valley Scorpions","home",1,0,3,1,5,"PRO",0,"Providence Crabs","away",0,1
24,709,100,"2026-10-17",1905,9,7,10,"FL",0,"Florida Space Rangers","home",1,0,3,0,1,"PRO",0,"Providence Crabs","away",0,1
1,690,100,"2026-10-11",1905,9,5,12,"NYV",0,"New York Voyagers","home",0,1,3,8,10,"PRO",0,"Providence Crabs","away",1,0
25,210,100,"2026-8-13",1905,9,1,5,"UTA",1,"Utah Railroaders","home",0,1,3,2,5,"PRO",0,"Providence Crabs","away",1,0
2,650,100,"2026-9-25",1905,9,8,11,"OBX",0,"Outer Banks Aviators","home",1,0,3,2,7,"PRO",0,"Providence Crabs","away",0,1
2,246,100,"2026-8-26",1905,9,3,5,"OBX",0,"Outer Banks Aviators","home",1,0,3,1,4,"PRO",0,"Providence Crabs","away",0,1
11,15,100,"2026-5-20",1905,9,3,9,"VAN",1,"Vancouver Vandals","home",1,0,3,2,7,"PRO",0,"Providence Crabs","away",0,1
24,700,100,"2026-10-15",1905,9,5,6,"FL",0,"Florida Space Rangers","home",1,0,3,0,3,"PRO",0,"Providence Crabs","away",0,1
1,686,100,"2026-10-10",1905,9,7,14,"NYV",0,"New York Voyagers","home",1,0,3,5,9,"PRO",0,"Providence Crabs","away",0,1
