"team_id","parent_team_id","league_id","player_id","year","ab","h","SO","pa","pitches_seen","g","Dbl","Trp","hr","r","rbi","sb","bb","ibb","sf","hp","ip","p_ab","p_tb","ha","k","walks","p_r","er","w","l","s","p_sf","hra","qs","cg","sho","hld","zr","war","games","games_remaining","pa_pace","avg","obp","sin","rc","tb","slg","ops","iso","b_babip","bat_k_pcnt","bat_bb_pcnt","bat_k_bb_pcnt","era","whip","p_babip","fip","HR_per_9","R_per_9","H_per_9","K_per_9","BB_per_9","pit_k_pcnt","pit_bb_pcnt","pit_k_bb_pcnt","full_name","position_name","league_abbr","parent_team_abbr","team_name","winloss","name_pos","url"
1,1,100,180,2018,420,141,57,469,1925,101,29,8,1,58,35,0,45,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98,2.95,162,0,469,0.336,0.399,103,76,189,0.45,0.849,0.114,0.384,0.12,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,"Pepe Alazar","CF","PBE","NYV","New York Voyagers","0 - 0","Pepe Alazar - CF","http://www.pbesim.com/players/player_180.html"
1,1,100,180,2017,415,129,64,457,1628,100,27,2,4,68,49,1,36,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.096,2.08,162,0,457,0.311,0.367,96,64,172,0.414,0.781,0.103,0.356,0.14,0.08,0.06,0,0,0,0,0,0,0,0,0,0,0,0,"Pepe Alazar","CF","PBE","NYV","New York Voyagers","0 - 0","Pepe Alazar - CF","http://www.pbesim.com/players/player_180.html"
1,1,100,354,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0039,-0.02,162,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,Inf,0,0,0,0,Inf,0,0.5,-0.5,"Joshua Linton","2B","PBE","NYV","New York Voyagers","0 - 0","Joshua Linton - 2B","http://www.pbesim.com/players/player_354.html"
1,1,100,358,2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,516,0,153,102,56,90,87,8,12,0,6,19,8,0,0,0,-0.1459,0.55,162,102,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,1.62,0.334,4.74,1.33,6.28,10.67,7.12,3.91,0.2,0.11,0.09,"Colton Hagan","P","PBE","NYV","New York Voyagers","8 - 12","Colton Hagan - P","http://www.pbesim.com/players/player_358.html"
1,1,100,124,2022,395,108,110,434,1630,100,19,2,18,56,75,0,31,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5575,2.69,162,0,434,0.273,0.324,69,61,185,0.468,0.792,0.195,0.328,0.25,0.07,0.18,0,0,0,0,0,0,0,0,0,0,0,0,"Hawk Russell","LF","PBE","NYV","New York Voyagers","0 - 0","Hawk Russell - LF","http://www.pbesim.com/players/player_124.html"
1,1,100,31,2020,356,69,119,393,1511,100,18,0,11,35,34,0,27,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7975,-1.17,162,0,393,0.194,0.262,40,32,120,0.337,0.599,0.143,0.253,0.3,0.07,0.23,0,0,0,0,0,0,0,0,0,0,0,0,"Billy Baxter","1B","PBE","NYV","New York Voyagers","0 - 0","Billy Baxter - 1B","http://www.pbesim.com/players/player_31.html"
1,1,100,175,2021,191,42,63,209,797,52,10,1,9,23,24,0,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1285,0.02,162,0,209,0.22,0.289,22,24,81,0.424,0.713,0.204,0.275,0.3,0.08,0.22,0,0,0,0,0,0,0,0,0,0,0,0,"Carlos Delgado Jr.","SS","PBE","NYV","New York Voyagers","0 - 0","Carlos Delgado Jr. - SS","http://www.pbesim.com/players/player_175.html"
1,1,100,124,2023,388,97,94,431,1496,100,14,0,23,47,74,0,35,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0626,1.73,162,0,431,0.25,0.309,60,57,180,0.464,0.773,0.214,0.265,0.22,0.08,0.14,0,0,0,0,0,0,0,0,0,0,0,0,"Hawk Russell","LF","PBE","NYV","New York Voyagers","0 - 0","Hawk Russell - LF","http://www.pbesim.com/players/player_124.html"
1,1,100,29,2021,407,93,74,438,1521,100,23,0,8,47,55,0,25,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9853,0.19,162,0,438,0.229,0.274,62,39,140,0.344,0.618,0.115,0.258,0.17,0.06,0.11,0,0,0,0,0,0,0,0,0,0,0,0,"Weldon Borthwell","3B","PBE","NYV","New York Voyagers","0 - 0","Weldon Borthwell - 3B","http://www.pbesim.com/players/player_29.html"
1,1,100,364,2026,360,90,87,400,1547,100,19,3,6,40,35,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.513,0.15,162,102,808,0.25,0.323,62,43,133,0.369,0.692,0.119,0.315,0.22,0.1,0.12,0,0,0,0,0,0,0,0,0,0,0,0,"Ulysses Rove","2B","PBE","NYV","New York Voyagers","0 - 0","Ulysses Rove - 2B","http://www.pbesim.com/players/player_364.html"
