"Name","Team","Team Abbr","League","Games Started","Innings per Start","Excellent Starts","Neutral Starts","Poor Starts","VPR","Volatility %","WAR"
"Jose Forty-Three","Anchorage Wheelers","ANC","MiLPBE",8,5.5,4,3,1,4,0.62,0.6227
"Christopher Charlie","Dallas Dynamos","DAL","MiLPBE",8,4.62,2,5,1,2,0.38,0.7237
"Silas Young","Amarillo Armadillos","ARM","MiLPBE",11,5.64,3,6,2,1.5,0.45,1.1422
"Scammy Sosa","Kansas City Hepcats","KC","MiLPBE",8,5.5,4,1,3,1.33,0.88,1.3465
"Elton Chambers","State College Swift Steeds ","SCSS","MiLPBE",8,5.5,4,0,4,1,1,0.9138
"Alf Sorenson","State College Swift Steeds ","SCSS","MiLPBE",2,5.5,1,0,1,1,1,0.1506
"Jack Komnenos","State College Swift Steeds ","SCSS","MiLPBE",8,5.5,3,2,3,1,0.75,0.9504
"Dude Manbro","State College Swift Steeds ","SCSS","MiLPBE",8,6.88,2,4,2,1,0.5,0.2542
"Drew Buckley","Kingston Mounties","KGN","MiLPBE",10,5.1,3,3,4,0.75,0.7,1.0274
"Tony Ford","Anchorage Wheelers","ANC","MiLPBE",8,5.12,2,3,3,0.67,0.62,0.6938
"Manifest Destiny","Kansas City Hepcats","KC","MiLPBE",8,5.25,3,0,5,0.6,1,1.3528
"Coco McQueen","Dallas Dynamos","DAL","MiLPBE",9,5.44,3,1,5,0.6,0.89,0.8576
"Daniel Collins","Dallas Dynamos","DAL","MiLPBE",9,4.89,3,1,5,0.6,0.89,0.1368
"Bill Bisquick","Kingston Mounties","KGN","MiLPBE",11,5.73,4,0,7,0.57,1,1.2804
"Justin Side","Amarillo Armadillos","ARM","MiLPBE",10,5.3,2,3,5,0.4,0.7,0.6072
"Calloway Flowers","Amarillo Armadillos","ARM","MiLPBE",11,4.45,2,4,5,0.4,0.64,0.5385
"Stryker Spinrate","Kingston Mounties","KGN","MiLPBE",11,5.09,2,3,6,0.33,0.73,0.4298
"Andy Spruce","Kansas City Hepcats","KC","MiLPBE",8,5.25,1,4,3,0.33,0.5,0.8899
"Steve Vassallo","Dallas Dynamos","DAL","MiLPBE",6,4.33,1,1,4,0.25,0.83,0.0884
"Justin Womack","Anchorage Wheelers","ANC","MiLPBE",8,4.62,1,2,5,0.2,0.75,0.4821
"Braylan Moston","Anchorage Wheelers","ANC","MiLPBE",8,4.75,1,0,7,0.14,1,0.2698
"Kevin Choate","State College Swift Steeds ","SCSS","MiLPBE",5,3.8,0,0,5,0,1,-0.264
"DingDing Jimbo","State College Swift Steeds ","SCSS","MiLPBE",1,4,0,0,1,0,1,-0.0598
"Sebastian Randal","Kansas City Hepcats","KC","MiLPBE",8,4.38,0,1,7,0,0.88,0.5562
"Buster Nutt","Florida Space Rangers","FL","PBE",8,5.88,6,2,0,999,0.75,1.1306
"Guy Walker","Death Valley Scorpions","DV","PBE",9,7.11,6,2,1,6,0.78,2.1303
"Hayley MaConnell","Vancouver Vandals","VAN","PBE",9,6.67,6,2,1,6,0.78,0.8497
"Frederick Birdington","Death Valley Scorpions","DV","PBE",9,6.67,5,3,1,5,0.67,1.613
"Ryan Stryker","New York Voyagers","NYV","PBE",8,7.12,4,3,1,4,0.62,2.4728
"Mookie Banks","Outer Banks Aviators","OBX","PBE",9,6.22,4,4,1,4,0.56,1.0706
"Greg Steiner","Vancouver Vandals","VAN","PBE",9,6.33,6,1,2,3,0.89,1.7973
"J.A. Jabs","Florida Space Rangers","FL","PBE",8,5.88,5,1,2,2.5,0.88,1.3189
"Mikhail Bergen","Utah Railroaders","UTA","PBE",9,6.78,6,0,3,2,1,1.7619
"Joey Slothface","New York Voyagers","NYV","PBE",8,5.62,4,2,2,2,0.75,0.5164
