"home_team","game_id","league_id","date","time","innings","runs_home","hits_home","home_abbr","home_division_id","home_team_name","home","home_win","home_loss","away_team","runs_away","hits_away","away_abbr","away_division_id","away_team_name","away","away_win","away_loss"
25,74,100,"2027-6-10",1905,9,1,6,"UTA",1,"Utah Railroaders","home",0,1,1,2,8,"NYV",0,"New York Voyagers","away",1,0
3,32,100,"2027-5-26",1905,9,3,6,"PRO",0,"Providence Crabs","home",1,0,1,1,7,"NYV",0,"New York Voyagers","away",0,1
25,70,100,"2027-6-9",1905,9,2,4,"UTA",1,"Utah Railroaders","home",0,1,1,11,17,"NYV",0,"New York Voyagers","away",1,0
25,25,100,"2027-5-22",1905,9,1,7,"UTA",1,"Utah Railroaders","home",0,1,1,4,9,"NYV",0,"New York Voyagers","away",1,0
3,36,100,"2027-5-27",1905,9,1,5,"PRO",0,"Providence Crabs","home",0,1,1,2,7,"NYV",0,"New York Voyagers","away",1,0
25,78,100,"2027-6-11",1905,12,7,12,"UTA",1,"Utah Railroaders","home",1,0,1,6,13,"NYV",0,"New York Voyagers","away",0,1
3,29,100,"2027-5-25",1905,9,7,10,"PRO",0,"Providence Crabs","home",1,0,1,4,9,"NYV",0,"New York Voyagers","away",0,1
25,28,100,"2027-5-23",1905,9,6,7,"UTA",1,"Utah Railroaders","home",0,1,1,19,22,"NYV",0,"New York Voyagers","away",1,0
24,2,100,"2027-5-15",1905,9,12,10,"FL",0,"Florida Space Rangers","home",1,0,2,8,10,"OBX",0,"Outer Banks Aviators","away",0,1
9,69,100,"2027-6-9",1905,9,0,3,"SAS",1,"San Antonio Sloths","home",0,1,2,9,12,"OBX",0,"Outer Banks Aviators","away",1,0
24,6,100,"2027-5-16",1905,9,6,12,"FL",0,"Florida Space Rangers","home",1,0,2,0,5,"OBX",0,"Outer Banks Aviators","away",0,1
9,19,100,"2027-5-21",1905,9,8,15,"SAS",1,"San Antonio Sloths","home",1,0,2,4,8,"OBX",0,"Outer Banks Aviators","away",0,1
10,97,100,"2027-6-19",1905,9,4,5,"DV",1,"Death Valley Scorpions","home",1,0,2,1,4,"OBX",0,"Outer Banks Aviators","away",0,1
9,15,100,"2027-5-20",1905,9,8,13,"SAS",1,"San Antonio Sloths","home",1,0,2,2,7,"OBX",0,"Outer Banks Aviators","away",0,1
1,64,100,"2027-6-6",1905,9,2,8,"NYV",0,"New York Voyagers","home",0,1,2,7,13,"OBX",0,"Outer Banks Aviators","away",1,0
11,44,100,"2027-5-30",1905,9,1,11,"VAN",1,"Vancouver Vandals","home",0,1,2,3,11,"OBX",0,"Outer Banks Aviators","away",1,0
1,56,100,"2027-6-4",1905,10,5,6,"NYV",0,"New York Voyagers","home",0,1,2,6,9,"OBX",0,"Outer Banks Aviators","away",1,0
24,13,100,"2027-5-18",1905,9,4,10,"FL",0,"Florida Space Rangers","home",1,0,2,2,7,"OBX",0,"Outer Banks Aviators","away",0,1
11,48,100,"2027-5-31",1905,9,5,10,"VAN",1,"Vancouver Vandals","home",1,0,2,0,4,"OBX",0,"Outer Banks Aviators","away",0,1
9,77,100,"2027-6-11",1905,9,2,6,"SAS",1,"San Antonio Sloths","home",0,1,2,9,10,"OBX",0,"Outer Banks Aviators","away",1,0
11,52,100,"2027-6-1",1905,9,3,10,"VAN",1,"Vancouver Vandals","home",0,1,2,4,6,"OBX",0,"Outer Banks Aviators","away",1,0
24,10,100,"2027-5-17",1905,9,1,5,"FL",0,"Florida Space Rangers","home",0,1,2,5,11,"OBX",0,"Outer Banks Aviators","away",1,0
1,60,100,"2027-6-5",1905,9,8,12,"NYV",0,"New York Voyagers","home",0,1,2,14,18,"OBX",0,"Outer Banks Aviators","away",1,0
9,73,100,"2027-6-10",1905,9,9,14,"SAS",1,"San Antonio Sloths","home",1,0,2,8,13,"OBX",0,"Outer Banks Aviators","away",0,1
24,55,100,"2027-6-4",1905,15,8,13,"FL",0,"Florida Space Rangers","home",1,0,3,5,8,"PRO",0,"Providence Crabs","away",0,1
