"player","TPE","positon","League","Team_Name","Created.Season"
"Godfrey Bowman",1088,"RF","PBE","Vancouver Vandals","S5"
"Alvin Enax",296,"CP","PBE","Vancouver Vandals","S3"
"Greg Steiner",1617,"SP","PBE","Vancouver Vandals","S2"
"Connor Macdonald",1500,"C","PBE","Vancouver Vandals","S1"
"Lucas North",434,"SP","PBE","Providence Crabs","S6"
"Matthew Valentine",650,"CF","PBE","Providence Crabs","S1"
"Jackson Jackson",505,"C","PBE","Providence Crabs","S1"
"Connor Tanner",977,"3B","PBE","Outer Banks Aviators","S4"
"Pete Rose",810,"CL","PBE","Outer Banks Aviators","S3"
"Phillip Thompson",1223,"SP","PBE","Outer Banks Aviators","S2"
"Jake Stennett",1467,"RF","PBE","Outer Banks Aviators","S2"
"Toshihiro Ishikawa",694,"C","PBE","Outer Banks Aviators","S1"
"Kenny McCormick",1138,"SS","PBE","Outer Banks Aviators","S1"
"Phillip J Fry",1616,"RF","PBE","New York Voyagers","S4"
"Fastguy Pitcherman",206,"SP","PBE","New York Voyagers","S3"
"Eduardo Dinero",1622,"SS","PBE","New York Voyagers","S2"
"Elston Sinclair",1204,"SP","PBE","New York Voyagers","S1"
"Penny Kowers",1418,"SP","PBE","Death Valley Scorpions","S1"
"Ozamataz Buckshank",1463,"RF","PBE","Death Valley Scorpions","S1"
"Victoria Secret",1220,"SP","PBE","Death Valley Scorpions","S1"
"Do Min-joon",1266,"LF","PBE","Death Valley Scorpions","S1"
"Brett Smoky",430,"CL","PBE","Utah Railroaders","S6"
"Mac Kaarbine",589,"CL","PBE","Utah Railroaders","S5"
"Tyler Oles",701,"SP","PBE","Utah Railroaders","S5"
"Orlando Jackson",422,"DH","PBE","Utah Railroaders","S4"
"Austin Dye",559,"3B","PBE","Utah Railroaders","S1"
"Laddy McBantershire",656,"C","PBE","Utah Railroaders","S1"
"Curtis Kane",146,"SP","PBE","Florida Space Rangers","S3"
"D'Aroldis Borkman",1486,"SP","PBE","Florida Space Rangers","S2"
"Sebastian Musgrave-Smythe",744,"CL","PBE","Florida Space Rangers","S1"
"Johnny Runakiwi",1344,"SS","PBE","Florida Space Rangers","S1"
"Esteban Rodriguez",1313,"SP","PBE","Florida Space Rangers","S1"
"Kevin Biggio",1526,"CF","PBE","Florida Space Rangers","S1"
"Sophia Bennett",1300,"RF","PBE","San Antonio Sloths","S1"
"Julian O'Sullivan",1434,"C","PBE","San Antonio Sloths","S1"
"Vick Thunder",1211,"LF","PBE","San Antonio Sloths","S1"
"Shooty McLish",1209,"1B","PBE","San Antonio Sloths","S1"
"Mamoru Okonomi",382,"CL","PBE","Vancouver Vandals","S10"
"Blu Line",588,"CL","PBE","Vancouver Vandals","S10"
"",NA,"Theodore","PBE","Vancouver Vandals","S9"
"Hayley MaConnell",760,"SP","PBE","Vancouver Vandals","S9"
"Peter Dawson",710,"SP","PBE","Vancouver Vandals","S9"
"Dafydd Davies",298,"SP","PBE","Vancouver Vandals","S9"
"Hendrix Lamar",668,"1B","PBE","Vancouver Vandals","S9"
